year;month;day;plot;subplot;species;individuals
2019;5;14;1;A5;BEMA;0
2015;4;20;2;A5;BEMA;0
2016;3;15;2;A5;BEMA;2
2017;5;8;2;A5;BEMA;0
2018;5;22;2;A5;BEMA;0
2019;5;14;2;A5;BEMA;0
2015;4;20;3;A5;BEMA;0
2016;3;15;3;A5;BEMA;4
2017;5;8;3;A5;BEMA;0
2018;5;22;3;A5;BEMA;0
2019;5;14;3;A5;BEMA;0
2015;4;20;4;A5;BEMA;0
2016;3;15;4;A5;BEMA;1
2017;5;8;4;A5;BEMA;0
2018;5;22;4;A5;BEMA;0
2019;5;14;4;A5;BEMA;0
2015;4;20;5;A5;BEMA;1
2016;3;15;5;A5;BEMA;0
2017;5;8;5;A5;BEMA;0
2018;5;22;5;A5;BEMA;0
2019;5;14;5;A5;BEMA;0
2015;4;20;6;A5;BEMA;0
2016;3;15;6;A5;BEMA;6
2017;5;8;6;A5;BEMA;0
2018;5;22;6;A5;BEMA;0
2019;5;14;6;A5;BEMA;0
2015;4;20;7;A5;BEMA;0
2016;3;15;7;A5;BEMA;16
2017;5;8;7;A5;BEMA;0
2018;5;22;7;A5;BEMA;0
2019;5;20;7;A5;BEMA;12
2015;4;20;8;A5;BEMA;0
2016;3;15;8;A5;BEMA;4
2017;5;8;8;A5;BEMA;0
2018;5;22;8;A5;BEMA;0
2019;5;20;8;A5;BEMA;8
2015;4;20;9;A5;BEMA;0
2016;3;15;9;A5;BEMA;8
2017;5;8;9;A5;BEMA;0
2018;5;22;9;A5;BEMA;0
2019;5;20;9;A5;BEMA;0
2015;4;20;1;A6;BEMA;0
2016;3;15;1;A6;BEMA;1
2017;5;8;1;A6;BEMA;0
2018;5;22;1;A6;BEMA;0
2019;5;14;1;A6;BEMA;0
2015;4;20;2;A6;BEMA;3
2016;3;15;2;A6;BEMA;2
2017;5;8;2;A6;BEMA;7
2018;5;22;2;A6;BEMA;0
2019;5;14;2;A6;BEMA;0
2015;4;20;3;A6;BEMA;0
2016;3;15;3;A6;BEMA;2
2017;5;8;3;A6;BEMA;3
2018;5;22;3;A6;BEMA;1
2019;5;14;3;A6;BEMA;0
2015;4;20;4;A6;BEMA;0
2016;3;15;4;A6;BEMA;6
2017;5;8;4;A6;BEMA;0
2018;5;22;4;A6;BEMA;0
2019;5;14;4;A6;BEMA;0
2015;4;20;5;A6;BEMA;0
2016;3;15;5;A6;BEMA;0
2017;5;8;5;A6;BEMA;0
2018;5;22;5;A6;BEMA;0
2019;5;14;5;A6;BEMA;0
2015;4;20;6;A6;BEMA;0
2016;3;15;6;A6;BEMA;3
2017;5;8;6;A6;BEMA;0
2018;5;22;6;A6;BEMA;0
2019;5;14;6;A6;BEMA;0
2015;4;20;7;A6;BEMA;0
2016;3;15;7;A6;BEMA;6
2017;5;8;7;A6;BEMA;1
2018;5;22;7;A6;BEMA;0
2019;5;20;7;A6;BEMA;10
2015;4;20;8;A6;BEMA;0
2016;3;15;8;A6;BEMA;12
2017;5;8;8;A6;BEMA;0
2018;5;22;8;A6;BEMA;0
2019;5;20;8;A6;BEMA;15
2015;4;20;9;A6;BEMA;0
2016;3;15;9;A6;BEMA;10
2017;5;8;9;A6;BEMA;0
2018;5;22;9;A6;BEMA;0
2019;5;20;9;A6;BEMA;0
2015;4;20;1;B1;BEMA;4
2016;3;15;1;B1;BEMA;3
2017;5;8;1;B1;BEMA;3
2018;5;22;1;B1;BEMA;0
2019;5;14;1;B1;BEMA;0
2015;4;20;2;B1;BEMA;0
2016;3;15;2;B1;BEMA;4
2017;5;8;2;B1;BEMA;0
2018;5;22;2;B1;BEMA;0
2019;5;14;2;B1;BEMA;0
2015;4;20;3;B1;BEMA;0
2016;3;15;3;B1;BEMA;3
2017;5;8;3;B1;BEMA;0
2018;5;22;3;B1;BEMA;0
2019;5;14;3;B1;BEMA;0
2015;4;20;4;B1;BEMA;0
2016;3;15;4;B1;BEMA;1
2017;5;8;4;B1;BEMA;0
2018;5;22;4;B1;BEMA;0
2019;5;14;4;B1;BEMA;0
2015;4;20;5;B1;BEMA;0
2016;3;15;5;B1;BEMA;2
2017;5;8;5;B1;BEMA;0
2018;5;22;5;B1;BEMA;0
2019;5;14;5;B1;BEMA;0
2015;4;20;6;B1;BEMA;1
2016;3;15;6;B1;BEMA;1
2017;5;8;6;B1;BEMA;0
2018;5;22;6;B1;BEMA;0
2019;5;14;6;B1;BEMA;0
2015;4;20;7;B1;BEMA;0
2016;3;15;7;B1;BEMA;5
2017;5;8;7;B1;BEMA;0
2018;5;22;7;B1;BEMA;0
2019;5;20;7;B1;BEMA;10
2015;4;20;8;B1;BEMA;0
2016;3;15;8;B1;BEMA;5
2017;5;8;8;B1;BEMA;3
2018;5;22;8;B1;BEMA;0
2019;5;20;8;B1;BEMA;10
2015;4;20;9;B1;BEMA;0
2016;3;15;9;B1;BEMA;11
2017;5;8;9;B1;BEMA;0
2018;5;22;9;B1;BEMA;0
2019;5;20;9;B1;BEMA;0
2015;4;20;1;B2;BEMA;0
2016;3;15;1;B2;BEMA;1
2017;5;8;1;B2;BEMA;0
2018;5;22;1;B2;BEMA;0
2019;5;14;1;B2;BEMA;0
2015;4;20;2;B2;BEMA;0
2016;3;15;2;B2;BEMA;4
2017;5;8;2;B2;BEMA;1
2018;5;22;2;B2;BEMA;0
2019;5;14;2;B2;BEMA;0
2015;4;20;3;B2;BEMA;0
2016;3;15;3;B2;BEMA;2
2017;5;8;3;B2;BEMA;1
2018;5;22;3;B2;BEMA;0
2019;5;14;3;B2;BEMA;0
2015;4;20;4;B2;BEMA;0
2016;3;15;4;B2;BEMA;1
2017;5;8;4;B2;BEMA;0
2018;5;22;4;B2;BEMA;0
2019;5;14;4;B2;BEMA;0
2015;4;20;5;B2;BEMA;1
2016;3;15;5;B2;BEMA;0
2017;5;8;5;B2;BEMA;0
2018;5;22;5;B2;BEMA;0
2019;5;14;5;B2;BEMA;0
2015;4;20;6;B2;BEMA;5
2016;3;15;6;B2;BEMA;2
2017;5;8;6;B2;BEMA;0
2018;5;22;6;B2;BEMA;0
2019;5;14;6;B2;BEMA;0
2015;4;20;7;B2;BEMA;0
2016;3;15;7;B2;BEMA;7
2017;5;8;7;B2;BEMA;0
2018;5;22;7;B2;BEMA;0
2019;5;20;7;B2;BEMA;25
2015;4;20;8;B2;BEMA;0
2016;3;15;8;B2;BEMA;2
2017;5;8;8;B2;BEMA;0
2018;5;22;8;B2;BEMA;0
2019;5;20;8;B2;BEMA;15
2015;4;20;9;B2;BEMA;0
2016;3;15;9;B2;BEMA;6
2017;5;8;9;B2;BEMA;0
2018;5;22;9;B2;BEMA;0
2019;5;20;9;B2;BEMA;0
2015;4;20;1;B3;BEMA;0
2016;3;15;1;B3;BEMA;2
2017;5;8;1;B3;BEMA;0
2018;5;22;1;B3;BEMA;0
2019;5;14;1;B3;BEMA;0
2015;4;20;2;B3;BEMA;2
2016;3;15;2;B3;BEMA;1
2017;5;8;2;B3;BEMA;0
2018;5;22;2;B3;BEMA;1
2019;5;14;2;B3;BEMA;0
2015;4;20;3;B3;BEMA;0
2016;3;15;3;B3;BEMA;3
2017;5;8;3;B3;BEMA;0
2018;5;22;3;B3;BEMA;0
2019;5;14;3;B3;BEMA;0
2015;4;20;4;B3;BEMA;0
2016;3;15;4;B3;BEMA;1
2017;5;8;4;B3;BEMA;0
2018;5;22;4;B3;BEMA;0
2019;5;14;4;B3;BEMA;2
2015;4;20;5;B3;BEMA;2
2016;3;15;5;B3;BEMA;1
2017;5;8;5;B3;BEMA;0
2018;5;22;5;B3;BEMA;0
2019;5;14;5;B3;BEMA;0
2015;4;20;6;B3;BEMA;0
2016;3;15;6;B3;BEMA;3
2017;5;8;6;B3;BEMA;0
2018;5;22;6;B3;BEMA;0
2019;5;14;6;B3;BEMA;0
2015;4;20;7;B3;BEMA;0
2016;3;15;7;B3;BEMA;6
2017;5;8;7;B3;BEMA;2
2018;5;22;7;B3;BEMA;0
2019;5;20;7;B3;BEMA;30
2015;4;20;8;B3;BEMA;0
2016;3;15;8;B3;BEMA;5
2017;5;8;8;B3;BEMA;0
2018;5;22;8;B3;BEMA;0
2019;5;20;8;B3;BEMA;5
2015;4;20;9;B3;BEMA;0
2016;3;15;9;B3;BEMA;16
2017;5;8;9;B3;BEMA;0
2018;5;22;9;B3;BEMA;0
2019;5;20;9;B3;BEMA;0
2015;4;20;1;B4;BEMA;0
2016;3;15;1;B4;BEMA;1
2017;5;8;1;B4;BEMA;0
2018;5;22;1;B4;BEMA;0
2019;5;14;1;B4;BEMA;0
2015;4;20;2;B4;BEMA;0
2016;3;15;2;B4;BEMA;1
2017;5;8;2;B4;BEMA;0
2018;5;22;2;B4;BEMA;0
2019;5;14;2;B4;BEMA;0
2015;4;20;3;B4;BEMA;0
2016;3;15;3;B4;BEMA;4
2017;5;8;3;B4;BEMA;3
2018;5;22;3;B4;BEMA;0
2019;5;14;3;B4;BEMA;0
2015;4;20;4;B4;BEMA;3
2016;3;15;4;B4;BEMA;2
2017;5;8;4;B4;BEMA;0
2018;5;22;4;B4;BEMA;0
2019;5;14;4;B4;BEMA;0
2015;4;20;5;B4;BEMA;0
2016;3;15;5;B4;BEMA;1
2017;5;8;5;B4;BEMA;0
2018;5;22;5;B4;BEMA;0
2019;5;14;5;B4;BEMA;0
2015;4;20;6;B4;BEMA;0
2016;3;15;6;B4;BEMA;2
2017;5;8;6;B4;BEMA;0
2018;5;22;6;B4;BEMA;0
2019;5;14;6;B4;BEMA;0
2015;4;20;7;B4;BEMA;0
2016;3;15;7;B4;BEMA;5
2017;5;8;7;B4;BEMA;3
2018;5;22;7;B4;BEMA;0
2019;5;20;7;B4;BEMA;10
2015;4;20;8;B4;BEMA;0
2016;3;15;8;B4;BEMA;9
2017;5;8;8;B4;BEMA;0
2018;5;22;8;B4;BEMA;0
2019;5;20;8;B4;BEMA;5
2015;4;20;9;B4;BEMA;0
2016;3;15;9;B4;BEMA;5
2017;5;8;9;B4;BEMA;0
2018;5;22;9;B4;BEMA;0
2019;5;20;9;B4;BEMA;0
2015;4;20;1;B5;BEMA;0
2016;3;15;1;B5;BEMA;2
2017;5;8;1;B5;BEMA;0
2018;5;22;1;B5;BEMA;0
2019;5;14;1;B5;BEMA;0
2015;4;20;2;B5;BEMA;1
2016;3;15;2;B5;BEMA;1
2017;5;8;2;B5;BEMA;0
2018;5;22;2;B5;BEMA;0
2019;5;14;2;B5;BEMA;0
2015;4;20;3;B5;BEMA;0
2016;3;15;3;B5;BEMA;3
2017;5;8;3;B5;BEMA;3
2018;5;22;3;B5;BEMA;0
2019;5;14;3;B5;BEMA;0
2015;4;20;4;B5;BEMA;3
2016;3;15;4;B5;BEMA;4
2017;5;8;4;B5;BEMA;0
2018;5;22;4;B5;BEMA;0
2019;5;14;4;B5;BEMA;3
2015;4;20;5;B5;BEMA;0
2016;3;15;5;B5;BEMA;1
2017;5;8;5;B5;BEMA;1
2018;5;22;5;B5;BEMA;0
2019;5;14;5;B5;BEMA;0
2015;4;20;6;B5;BEMA;0
2016;3;15;6;B5;BEMA;2
2017;5;8;6;B5;BEMA;0
2018;5;22;6;B5;BEMA;0
2019;5;14;6;B5;BEMA;0
2015;4;20;7;B5;BEMA;0
2016;3;15;7;B5;BEMA;8
2017;5;8;7;B5;BEMA;0
2018;5;22;7;B5;BEMA;0
2019;5;20;7;B5;BEMA;3
2015;4;20;8;B5;BEMA;0
2016;3;15;8;B5;BEMA;7
2017;5;8;8;B5;BEMA;0
2018;5;22;8;B5;BEMA;0
2019;5;20;8;B5;BEMA;6
2015;4;20;9;B5;BEMA;0
2016;3;15;9;B5;BEMA;15
2017;5;8;9;B5;BEMA;0
2018;5;22;9;B5;BEMA;0
2019;5;20;9;B5;BEMA;0
2015;4;20;1;B6;BEMA;0
2016;3;15;1;B6;BEMA;2
2017;5;8;1;B6;BEMA;0
2018;5;22;1;B6;BEMA;0
2019;5;14;1;B6;BEMA;0
2015;4;20;2;B6;BEMA;0
2016;3;15;2;B6;BEMA;3
2017;5;8;2;B6;BEMA;0
2018;5;22;2;B6;BEMA;0
2019;5;14;2;B6;BEMA;30
2015;4;20;3;B6;BEMA;0
2016;3;15;3;B6;BEMA;4
2017;5;8;3;B6;BEMA;1
2018;5;22;3;B6;BEMA;0
2019;5;14;3;B6;BEMA;0
2015;4;20;4;B6;BEMA;3
2016;3;15;4;B6;BEMA;7
2017;5;8;4;B6;BEMA;0
2018;5;22;4;B6;BEMA;0
2019;5;14;4;B6;BEMA;0
2015;4;20;5;B6;BEMA;0
2016;3;15;5;B6;BEMA;0
2017;5;8;5;B6;BEMA;0
2018;5;22;5;B6;BEMA;0
2019;5;14;5;B6;BEMA;0
2015;4;20;6;B6;BEMA;0
2016;3;15;6;B6;BEMA;4
2017;5;8;6;B6;BEMA;0
2018;5;22;6;B6;BEMA;0
2019;5;14;6;B6;BEMA;0
2015;4;20;7;B6;BEMA;0
2016;3;15;7;B6;BEMA;10
2017;5;8;7;B6;BEMA;0
2018;5;22;7;B6;BEMA;0
2019;5;20;7;B6;BEMA;6
2015;4;20;8;B6;BEMA;0
2016;3;15;8;B6;BEMA;3
2017;5;8;8;B6;BEMA;0
2018;5;22;8;B6;BEMA;0
2019;5;20;8;B6;BEMA;3
2015;4;20;9;B6;BEMA;0
2016;3;15;9;B6;BEMA;20
2017;5;8;9;B6;BEMA;0
2018;5;22;9;B6;BEMA;0
2019;5;20;9;B6;BEMA;0
2015;4;20;1;C1;BEMA;1
2016;3;15;1;C1;BEMA;1
2017;5;8;1;C1;BEMA;0
2018;5;22;1;C1;BEMA;0
2019;5;14;1;C1;BEMA;0
2015;4;20;2;C1;BEMA;2
2016;3;15;2;C1;BEMA;2
2017;5;8;2;C1;BEMA;0
2018;5;22;2;C1;BEMA;0
2019;5;14;2;C1;BEMA;0
2015;4;20;3;C1;BEMA;0
2016;3;15;3;C1;BEMA;3
2017;5;8;3;C1;BEMA;0
2018;5;22;3;C1;BEMA;0
2019;5;14;3;C1;BEMA;0
2015;4;20;4;C1;BEMA;2
2016;3;15;4;C1;BEMA;2
2017;5;8;4;C1;BEMA;0
2018;5;22;4;C1;BEMA;0
2019;5;14;4;C1;BEMA;1
2015;4;20;5;C1;BEMA;2
2016;3;15;5;C1;BEMA;1
2017;5;8;5;C1;BEMA;0
2018;5;22;5;C1;BEMA;0
2019;5;14;5;C1;BEMA;0
2015;4;20;6;C1;BEMA;0
2016;3;15;6;C1;BEMA;2
2017;5;8;6;C1;BEMA;0
2018;5;22;6;C1;BEMA;0
2019;5;14;6;C1;BEMA;0
2015;4;20;7;C1;BEMA;0
2016;3;15;7;C1;BEMA;7
2017;5;8;7;C1;BEMA;0
2018;5;22;7;C1;BEMA;0
2019;5;20;7;C1;BEMA;15
2015;4;20;8;C1;BEMA;0
2016;3;15;8;C1;BEMA;2
2017;5;8;8;C1;BEMA;0
2018;5;22;8;C1;BEMA;0
2019;5;20;8;C1;BEMA;15
2015;4;20;9;C1;BEMA;0
2016;3;15;9;C1;BEMA;8
2017;5;8;9;C1;BEMA;0
2018;5;22;9;C1;BEMA;0
2019;5;20;9;C1;BEMA;0
2015;4;20;1;C2;BEMA;1
2016;3;15;1;C2;BEMA;4
2017;5;8;1;C2;BEMA;0
2018;5;22;1;C2;BEMA;0
2019;5;14;1;C2;BEMA;0
2015;4;20;2;C2;BEMA;2
2016;3;15;2;C2;BEMA;3
2017;5;8;2;C2;BEMA;0
2018;5;22;2;C2;BEMA;2
2019;5;14;2;C2;BEMA;0
2015;4;20;3;C2;BEMA;0
2016;3;15;3;C2;BEMA;5
2017;5;8;3;C2;BEMA;0
2018;5;22;3;C2;BEMA;0
2019;5;14;3;C2;BEMA;0
2015;4;20;4;C2;BEMA;1
2016;3;15;4;C2;BEMA;3
2017;5;8;4;C2;BEMA;0
2018;5;22;4;C2;BEMA;0
2019;5;14;4;C2;BEMA;0
2015;4;20;5;C2;BEMA;0
2016;3;15;5;C2;BEMA;2
2017;5;8;5;C2;BEMA;0
2018;5;22;5;C2;BEMA;0
2019;5;14;5;C2;BEMA;0
2015;4;20;6;C2;BEMA;4
2016;3;15;6;C2;BEMA;0
2017;5;8;6;C2;BEMA;0
2018;5;22;6;C2;BEMA;0
2019;5;14;6;C2;BEMA;0
2015;4;20;7;C2;BEMA;0
2016;3;15;7;C2;BEMA;6
2017;5;8;7;C2;BEMA;4
2018;5;22;7;C2;BEMA;0
2019;5;20;7;C2;BEMA;20
2015;4;20;8;C2;BEMA;0
2016;3;15;8;C2;BEMA;12
2017;5;8;8;C2;BEMA;5
2018;5;22;8;C2;BEMA;0
2019;5;20;8;C2;BEMA;3
2015;4;20;9;C2;BEMA;0
2016;3;15;9;C2;BEMA;6
2017;5;8;9;C2;BEMA;0
2018;5;22;9;C2;BEMA;0
2019;5;20;9;C2;BEMA;0
2015;4;20;1;C3;BEMA;0
2016;3;15;1;C3;BEMA;1
2017;5;8;1;C3;BEMA;0
2018;5;22;1;C3;BEMA;0
2019;5;14;1;C3;BEMA;0
2015;4;20;2;C3;BEMA;0
2016;3;15;2;C3;BEMA;1
2017;5;8;2;C3;BEMA;0
2018;5;22;2;C3;BEMA;0
2019;5;14;2;C3;BEMA;0
2015;4;20;3;C3;BEMA;0
2016;3;15;3;C3;BEMA;6
2017;5;8;3;C3;BEMA;0
2018;5;22;3;C3;BEMA;0
2019;5;14;3;C3;BEMA;0
2015;4;20;4;C3;BEMA;1
2016;3;15;4;C3;BEMA;1
2017;5;8;4;C3;BEMA;0
2018;5;22;4;C3;BEMA;1
2019;5;14;4;C3;BEMA;0
2015;4;20;5;C3;BEMA;1
2016;3;15;5;C3;BEMA;0
2017;5;8;5;C3;BEMA;0
2018;5;22;5;C3;BEMA;1
2019;5;14;5;C3;BEMA;0
2015;4;20;6;C3;BEMA;0
2016;3;15;6;C3;BEMA;2
2017;5;8;6;C3;BEMA;0
2018;5;22;6;C3;BEMA;0
2019;5;14;6;C3;BEMA;0
2015;4;20;7;C3;BEMA;0
2016;3;15;7;C3;BEMA;8
2017;5;8;7;C3;BEMA;0
2018;5;22;7;C3;BEMA;0
2019;5;20;7;C3;BEMA;15
2015;4;20;8;C3;BEMA;0
2016;3;15;8;C3;BEMA;5
2017;5;8;8;C3;BEMA;0
2018;5;22;8;C3;BEMA;0
2019;5;20;8;C3;BEMA;0
2015;4;20;9;C3;BEMA;0
2016;3;15;9;C3;BEMA;8
2017;5;8;9;C3;BEMA;0
2018;5;22;9;C3;BEMA;0
2019;5;20;9;C3;BEMA;0
2015;4;20;1;C4;BEMA;0
2016;3;15;1;C4;BEMA;6
2017;5;8;1;C4;BEMA;1
2018;5;22;1;C4;BEMA;0
2019;5;14;1;C4;BEMA;0
2015;4;20;2;C4;BEMA;0
2016;3;15;2;C4;BEMA;2
2017;5;8;2;C4;BEMA;0
2018;5;22;2;C4;BEMA;3
2019;5;14;2;C4;BEMA;0
2015;4;20;3;C4;BEMA;0
2016;3;15;3;C4;BEMA;2
2017;5;8;3;C4;BEMA;0
2018;5;22;3;C4;BEMA;0
2019;5;14;3;C4;BEMA;0
2015;4;20;4;C4;BEMA;4
2016;3;15;4;C4;BEMA;4
2017;5;8;4;C4;BEMA;0
2018;5;22;4;C4;BEMA;0
2019;5;14;4;C4;BEMA;0
2015;4;20;5;C4;BEMA;0
2016;3;15;5;C4;BEMA;1
2017;5;8;5;C4;BEMA;0
2018;5;22;5;C4;BEMA;1
2019;5;14;5;C4;BEMA;0
2015;4;20;6;C4;BEMA;0
2016;3;15;6;C4;BEMA;1
2017;5;8;6;C4;BEMA;0
2018;5;22;6;C4;BEMA;0
2019;5;14;6;C4;BEMA;0
2015;4;20;7;C4;BEMA;0
2016;3;15;7;C4;BEMA;6
2017;5;8;7;C4;BEMA;0
2018;5;22;7;C4;BEMA;0
2019;5;20;7;C4;BEMA;5
2015;4;20;8;C4;BEMA;0
2016;3;15;8;C4;BEMA;15
2017;5;8;8;C4;BEMA;0
2018;5;22;8;C4;BEMA;0
2019;5;20;8;C4;BEMA;0
2015;4;20;9;C4;BEMA;0
2016;3;15;9;C4;BEMA;15
2017;5;8;9;C4;BEMA;0
2018;5;22;9;C4;BEMA;0
2019;5;20;9;C4;BEMA;0
2015;4;20;1;C5;BEMA;0
2016;3;15;1;C5;BEMA;4
2017;5;8;1;C5;BEMA;0
2018;5;22;1;C5;BEMA;0
2019;5;14;1;C5;BEMA;0
2015;4;20;2;C5;BEMA;0
2016;3;15;2;C5;BEMA;2
2017;5;8;2;C5;BEMA;0
2018;5;22;2;C5;BEMA;0
2019;5;14;2;C5;BEMA;0
2015;4;20;3;C5;BEMA;0
2016;3;15;3;C5;BEMA;2
2017;5;8;3;C5;BEMA;0
2018;5;22;3;C5;BEMA;0
