Day,Month,Year,Plot,Subplot,Group,Species,ID,G_F,Plant,Sex,Visits,Jar,time,Observer,Obs,Weather,date_raw,Week,Line,Seed,Fruit
20,2,2020,9,C2,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,2,NA,15:27,M,NA,NA,2020-02-20,8,3,58,1
20,2,2020,9,D2,Beetle,NA,Brassicogethes_sp,Small_beetles,CHFU,NA,1,NA,15:27,M,NA,NA,2020-02-20,8,3,9.5,1
20,2,2020,9,F6,Fly,NA,Eristalis_sp,Hoverflies,CHFU,NA,1,NA,15:27,M,NA,NA,2020-02-20,8,3,69,1
20,2,2020,9,D2,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,15:27,M,NA,NA,2020-02-20,8,3,9.5,1
20,2,2020,9,D5,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,15:27,M,NA,NA,2020-02-20,8,3,25,1
20,2,2020,9,F1,Fly,NA,Musca_sp,House_flies,CHFU,NA,1,NA,15:27,M,NA,NA,2020-02-20,8,3,45,1
20,2,2020,9,E1,Bee,Argentata,Andrena_argentata,Solitary_bees,CHFU,NA,1,9_20_2,15:27,M,NA,NA,2020-02-20,8,3,21,1
20,2,2020,8,F4,Fly,NA,Musca_sp,House_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,30,1
20,2,2020,8,F2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,76,1
20,2,2020,8,E1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,67.5,1
20,2,2020,8,C1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,42,1
20,2,2020,8,A3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,41,1
20,2,2020,8,A4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,30,1
20,2,2020,8,C5,Fly,NA,Musca_sp,House_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,15,1
20,2,2020,8,C4,Fly,NA,Musca_sp,House_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,13,1
20,2,2020,8,D2,Fly,NA,Musca_sp,House_flies,CHFU,NA,1,NA,15:55,M,NA,NA,2020-02-20,8,3,21,1
26,2,2020,9,F6,Bee,NA,Andrena_sp,Solitary_bees,CHFU,NA,1,NA,13:32,M,NA,NA,2020-02-26,9,3,69,1
26,2,2020,9,F6,Fly,NA,Cylindromyia_sp,House_flies,CHFU,NA,1,NA,13:32,M,NA,NA,2020-02-26,9,3,69,1
26,2,2020,9,F6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,M,NA,NA,2020-02-26,9,3,69,1
26,2,2020,9,E5,Bee,NA,Andrena_sp,Solitary_bees,CHFU,NA,10,NA,13:32,M,NA,NA,2020-02-26,9,3,42,1
26,2,2020,8,A2,Bee,NA,Andrena_sp,Solitary_bees,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,30,1
26,2,2020,8,A2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,30,1
26,2,2020,8,A3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,41,1
26,2,2020,8,A3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,41,1
26,2,2020,8,A4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,30,1
26,2,2020,8,A6,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,13,1
26,2,2020,8,B6,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,0,1
26,2,2020,8,C6,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,2,NA,13:01,M,NA,NA,2020-02-26,9,3,31,1
26,2,2020,8,C6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,31,1
26,2,2020,8,C2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,38,1
26,2,2020,8,C1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,42,1
26,2,2020,8,C1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,M,NA,NA,2020-02-26,9,3,42,1
26,2,2020,7,A4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,12:40,L,NA,NA,2020-02-26,9,3,0,1
26,2,2020,7,E1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,12:40,L,NA,NA,2020-02-26,9,3,26,1
26,2,2020,7,E4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,12:40,L,NA,NA,2020-02-26,9,3,17,1
26,2,2020,7,F2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,12:40,L,NA,NA,2020-02-26,9,3,45,1
26,2,2020,8,C2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,L,NA,NA,2020-02-26,9,3,38,1
26,2,2020,8,C2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,L,NA,NA,2020-02-26,9,3,38,1
26,2,2020,8,E1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,L,NA,NA,2020-02-26,9,3,67.5,1
26,2,2020,8,F4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,L,NA,NA,2020-02-26,9,3,30,1
26,2,2020,8,F3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,L,NA,NA,2020-02-26,9,3,23,1
26,2,2020,8,F3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,L,NA,NA,2020-02-26,9,3,23,1
26,2,2020,8,F3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,L,NA,NA,2020-02-26,9,3,23,1
26,2,2020,8,F2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:01,L,NA,NA,2020-02-26,9,3,76,1
26,2,2020,9,B1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,53,1
26,2,2020,9,C1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,0,1
26,2,2020,9,C1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,0,1
26,2,2020,9,B1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,53,1
26,2,2020,9,C1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,0,1
26,2,2020,9,D1,Bee,NA,Andrena_sp,Solitary_bees,CHFU,NA,1,picture_26_3,13:32,L,NA,NA,2020-02-26,9,3,15,1
26,2,2020,9,E1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,21,1
26,2,2020,9,E1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,21,1
26,2,2020,9,E1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,21,1
26,2,2020,9,E1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,21,1
26,2,2020,9,F1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,45,1
26,2,2020,9,C2,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,58,1
26,2,2020,9,D2,Fly,NA,Syrphidae,Hoverflies,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,9.5,1
26,2,2020,9,E2,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,16,1
26,2,2020,9,C3,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:32,L,NA,NA,2020-02-26,9,3,31,1
26,2,2020,8,F3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,12:52,M,NA,NA,2020-02-26,9,3,23,1
10,3,2020,8,C3,Fly,NA,Sarcophaga_sp,House_flies,CHFU,NA,1,5_10_3,13:38,M,Fly_5_10_3,NA,2020-03-10,11,3,7.5,1
10,3,2020,8,C4,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,13:38,M,NA,NA,2020-03-10,11,3,13,1
10,3,2020,8,C6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,2,NA,13:38,M,NA,NA,2020-03-10,11,3,31,1
10,3,2020,8,C6,Fly,NA,Dilophus_sp,Small_flies,CHFU,NA,1,NA,13:38,M,NA,NA,2020-03-10,11,3,31,1
10,3,2020,3,C3,Beetle,NA,Curculionidae,Small_beetles,CHFU,NA,1,6_10_3,14:13,M,NA,NA,2020-03-10,11,1,13,1
10,3,2020,3,C3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:13,M,NA,NA,2020-03-10,11,1,13,1
10,3,2020,7,F4,Bee,NA,Andrena_humilis,Solitary_bees,LEMA,NA,1,NA,11:15,M,NA,NA,2020-03-10,11,3,60,1
10,3,2020,7,F4,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,LEMA,NA,1,NA,11:15,M,NA,NA,2020-03-10,11,3,60,1
10,3,2020,7,F4,Bee,humilis,Andrena_humilis,Solitary_bees,LEMA,NA,1,2_10_3,11:15,M,Andrena_2_10_3. female,NA,2020-03-10,11,3,60,1
10,3,2020,7,E6,Bee,humilis,Andrena_humilis,Solitary_bees,LEMA,NA,1,2_10_3,11:15,M,Andrena_2_10_3. female,NA,2020-03-10,11,3,44,1
10,3,2020,7,E6,Beetle,NA,Brassicogethes_sp,Small_beetles,LEMA,NA,1,NA,11:15,M,NA,NA,2020-03-10,11,3,44,1
10,3,2020,7,E6,Beetle,NA,Brassicogethes_sp,Small_beetles,LEMA,NA,1,NA,11:15,M,NA,NA,2020-03-10,11,3,44,1
10,3,2020,8,F6,Bee,humilis,Andrena_humilis,Solitary_bees,LEMA,NA,1,2_10_3,11:41,M,Andrena_2_10_3. female,NA,2020-03-10,11,3,17,1
10,3,2020,8,D1,Fly,NA,Musca_sp,House_flies,CHFU,NA,1,NA,11:41,M,NA,NA,2020-03-10,11,3,41,1
10,3,2020,9,F6,Bee,NA,Andrena_humilis,Solitary_bees,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,69,1
10,3,2020,9,F6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,2,NA,12:08,M,NA,NA,2020-03-10,11,3,69,1
10,3,2020,9,E5,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,42,1
10,3,2020,9,D6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,20,1
10,3,2020,9,D6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,20,1
10,3,2020,9,D6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,20,1
10,3,2020,9,C5,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,40.5,1
10,3,2020,9,A6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,16,1
10,3,2020,9,A6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,16,1
10,3,2020,9,A6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,M,NA,NA,2020-03-10,11,3,16,1
10,3,2020,1,C1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:46,M,NA,NA,2020-03-10,11,1,64,1
10,3,2020,1,C1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:46,M,NA,NA,2020-03-10,11,1,64,1
10,3,2020,1,B1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:46,M,NA,NA,2020-03-10,11,1,72,1
10,3,2020,1,B1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:46,M,NA,NA,2020-03-10,11,1,72,1
10,3,2020,1,E3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:46,M,NA,NA,2020-03-10,11,1,25,1
10,3,2020,1,E3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:46,M,NA,NA,2020-03-10,11,1,25,1
10,3,2020,1,E3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:46,M,NA,NA,2020-03-10,11,1,25,1
10,3,2020,7,A4,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,LEMA,NA,1,NA,11:15,L,NA,NA,2020-03-10,11,3,33,1
10,3,2020,7,A4,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,LEMA,NA,1,NA,11:15,L,NA,NA,2020-03-10,11,3,33,1
10,3,2020,7,A4,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,LEMA,NA,1,NA,11:15,L,NA,NA,2020-03-10,11,3,33,1
10,3,2020,7,A3,Beetle,NA,Brassicogethes_sp,Small_beetles,LEMA,NA,1,NA,11:15,L,NA,NA,2020-03-10,11,3,27,1
10,3,2020,7,B5,Bee,humilis,Andrena_humilis,Solitary_bees,LEMA,NA,10,2_10_3,11:15,L,Andrena_2_10_3. female,NA,2020-03-10,11,3,13,1
10,3,2020,7,C6,Beetle,NA,Oedemeridae,Flower_beetles,LEMA,NA,1,1_10_03,11:15,L,Black_beetle_1_10_03,NA,2020-03-10,11,3,64,1
10,3,2020,7,C6,Beetle,NA,Brassicogethes_sp,Small_beetles,LEMA,NA,1,NA,11:15,L,NA,NA,2020-03-10,11,3,64,1
10,3,2020,7,C2,Bee,humilis,Andrena_humilis,Solitary_bees,LEMA,NA,2,2_10_3,11:15,L,Andrena_2_10_3. female,NA,2020-03-10,11,3,50,1
10,3,2020,7,B4,Bee,humilis,Andrena_humilis,Solitary_bees,LEMA,NA,3,2_10_3,11:15,L,Andrena_2_10_3. female,NA,2020-03-10,11,3,73,1
10,3,2020,9,E3,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,20,1
10,3,2020,9,E3,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,20,1
10,3,2020,9,E3,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,20,1
10,3,2020,9,C1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,0,1
10,3,2020,9,C1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,0,1
10,3,2020,9,C1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,0,1
10,3,2020,9,C1,Bee,humilis,Andrena_humilis,Solitary_bees,CHFU,NA,1,2_10_3,12:08,L,Andrena_2_10_3. female,NA,2020-03-10,11,3,0,1
10,3,2020,9,C3,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,31,1
10,3,2020,9,B2,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,28,1
10,3,2020,9,B1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,53,1
10,3,2020,9,B1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,53,1
10,3,2020,9,B1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,12:08,L,NA,NA,2020-03-10,11,3,53,1
10,3,2020,2,B3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,14:13,L,NA,NA,2020-03-10,11,1,21,1
5,3,2020,9,A6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,16,1
5,3,2020,9,A6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,16,1
5,3,2020,9,A6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,16,1
5,3,2020,9,B6,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,18,1
5,3,2020,9,B2,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,28,1
5,3,2020,9,B2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,28,1
5,3,2020,9,B1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,53,1
5,3,2020,9,C1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,0,1
5,3,2020,9,C5,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,40.5,1
5,3,2020,9,D1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,15,1
5,3,2020,9,E4,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,56,1
5,3,2020,9,E4,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,56,1
5,3,2020,9,E4,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,56,1
5,3,2020,2,A3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,1,1,1
5,3,2020,2,D4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,1,101,1
5,3,2020,7,F2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,45,1
5,3,2020,8,A5,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,31,1
5,3,2020,8,A6,Fly,NA,Syrphidae,Hoverflies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,13,1
5,3,2020,8,B5,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,16,1
5,3,2020,8,C2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,38,1
5,3,2020,8,C6,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,31,1
5,3,2020,8,D5,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,22.5,1
5,3,2020,8,D1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,2,NA,NA,L,NA,NA,2020-03-05,10,3,41,1
5,3,2020,8,F3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-03-05,10,3,23,1
