Plot;Subplot;Plant_Simple;G_F;Visits;num.plantas;Fruit;Seed
4;C2;LEMA;Bees;1;35;7;448
4;E4;LEMA;Hoverflies;1;18;3;192
4;E4;LEMA;Small_beetles;1;18;3;192
4;F1;LEMA;Bees;1;16;14;896
5;A1;LEMA;Small_beetles;1;4;2;128
5;B2;CHFU;Hoverflies;1;17;11;836
5;D5;CHFU;Small_flies;1;6;4;304
5;E1;CHFU;Small_beetles;1;26;9;684
6;A3;CHFU;Small_beetles;1;12;3;228
6;B3;CHFU;Hoverflies;2;7;3;228
6;B4;LEMA;Hoverflies;1;6;2;128
7;A5;CHFU;Small_flies;1;3;6;456
7;A5;CHFU;House_flies;1;3;6;456
7;B2;CHFU;Small_flies;1;2;8;608
7;B6;CHFU;Small_flies;1;30;6;456
7;C2;CHFU;Bees;1;2;5;380
7;C2;CHFU;Bees;1;2;5;380
7;C3;CHFU;Small_flies;1;1;14;1064
7;F1;CHFU;Small_flies;1;1;0;0
8;B1;CHFU;Small_flies;1;5;7;532
8;C2;CHFU;Hoverflies;1;19;8;608
8;D2;CHFU;Small_beetles;1;6;5;380
8;D2;CHFU;Hoverflies;1;6;5;380
8;E5;CHFU;Small_flies;1;40;6;456
9;A2;CHFU;Small_flies;1;20;5;380
9;A3;CHFU;Small_flies;1;6;2;152
9;B2;CHFU;Small_flies;1;35;2;152
9;B3;CHFU;Small_beetles;1;25;2;152
9;D2;CHFU;Hoverflies;1;35;2;152
9;D4;CHFU;Small_flies;2;100;4;304
9;E3;CHFU;Small_flies;1;70;3;228
9;E4;CHFU;House_flies;1;60;3;228
9;F4;CHFU;Small_flies;3;20;4;304
9;F5;CHFU;Small_flies;2;50;3;228
9;F6;CHFU;Small_flies;5;70;6;456
1;A3;CHFU;Small_flies;1;7;2;152
1;B1;CHFU;Hoverflies;1;3;2;152
1;B2;ME;Small_flies;1;1;0;0
1;B2;CHFU;Small_flies;2;3;2;152
1;C4;CHFU;Small_flies;1;3;1;76
2;A4;CHFU;Small_flies;2;6;4;304
4;A2;CHFU;Small_flies;1;20;5;380
4;A2;CHFU;Small_flies;1;20;5;380
4;B1;CHFU;Small_flies;1;2;1;76
4;B1;CHFU;Flower_beetles;1;2;1;76
4;B1;CHFU;Flower_beetles;1;2;1;76
4;B2;CHFU;Small_flies;1;11;7;532
4;B5;CHFU;Small_flies;1;5;7;532
4;B5;CHFU;Flower_beetles;2;5;7;532
4;B6;CHFU;Small_flies;1;5;5;380
4;B6;CHFU;Small_flies;1;5;5;380
4;C2;CHFU;Small_flies;1;5;5;380
4;D6;CHFU;Small_flies;1;5;5;380
4;E5;CHFU;Small_flies;1;2;9;684
4;F5;CHFU;Small_flies;1;4;2;152
4;F5;CHFU;Small_flies;1;4;2;152
4;F5;CHFU;Small_flies;1;4;2;152
4;F4;CHFU;Flower_beetles;1;7;3;228
5;A1;CHFU;Small_flies;1;12;9;684
5;A3;CHFU;Small_flies;1;16;3;228
5;A4;CHFU;Small_flies;2;11;11;836
5;A5;CHFU;Small_flies;1;5;2;152
5;B1;CHFU;Small_flies;1;22;8;608
5;B3;CHFU;Hoverflies;1;10;3;228
6;A2;CHFU;Small_flies;1;14;3;228
6;A3;CHFU;Small_beetles;1;12;3;228
6;A3;CHFU;Small_flies;1;12;3;228
6;A4;LEMA;Small_flies;1;3;1;64
6;A5;CHFU;Flower_beetles;1;14;3;228
6;B1;LEMA;Small_flies;1;2;3;192
6;B3;LEMA;Small_flies;1;2;1;64
6;D2;LEMA;Bees;1;4;2;128
6;D3;LEMA;Bees;1;6;3;192
6;E3;CHFU;Bees;1;19;3;228
6;F5;LEMA;Small_beetles;1;11;6;384
7;A1;CHFU;Small_flies;1;1;6;456
7;A5;CHFU;Small_flies;1;3;6;456
7;A5;CHFU;Small_flies;5;3;6;456
7;B1;CHFU;Small_flies;1;1;15;1140
7;B2;CHFU;Hoverflies;1;2;8;608
7;B2;CHFU;Small_flies;2;2;8;608
7;B3;CHFU;Small_flies;2;1;0;0
7;B4;CHFU;Small_flies;1;16;12;912
7;B5;CHFU;Small_flies;1;32;9;684
7;B6;CHFU;Small_flies;3;30;6;456
7;B6;CHFU;Small_flies;1;30;6;456
7;C3;CHFU;Small_flies;1;1;14;1064
7;C3;CHFU;Small_flies;1;1;14;1064
7;C6;CHFU;Small_flies;3;18;9;684
7;D1;CHFU;Small_flies;1;1;8;608
7;D1;CHFU;Small_flies;1;1;8;608
7;D2;CHFU;Small_flies;1;10;0;0
7;D3;CHFU;Small_flies;1;4;7;532
7;D4;CHFU;Small_flies;1;6;10;760
7;D6;CHFU;Small_flies;3;4;8;608
7;D5;CHFU;Small_flies;1;6;12;912
7;E2;CHFU;Small_flies;1;2;3;228
7;E3;CHFU;Small_flies;2;7;5;380
7;E5;CHFU;Small_flies;1;14;9;684
7;E4;CHFU;Small_flies;2;10;7;532
7;F1;CHFU;Small_flies;1;1;0;0
7;F2;CHFU;Small_flies;2;1;0;0
7;F2;CHFU;Small_flies;1;1;0;0
7;F3;CHFU;Small_flies;1;2;15;1140
7;F4;CHFU;Small_flies;3;11;8;608
7;F5;CHFU;Small_flies;1;14;13;988
8;A5;CHFU;Small_flies;2;70;7;532
8;A6;CHFU;Small_flies;1;60;10;760
8;B2;CHFU;Hoverflies;1;16;8;608
8;B3;LEMA;Small_flies;1;3;3;192
8;B4;CHFU;Small_flies;1;25;11;836
8;B5;CHFU;Small_flies;2;30;3;228
8;B5;CHFU;Hoverflies;1;30;3;228
8;B6;CHFU;Small_flies;1;26;4;304
8;C3;CHFU;Small_flies;1;24;7;532
8;C4;CHFU;Small_flies;1;35;8;608
8;C6;CHFU;Small_flies;1;45;8;608
8;D2;CHFU;Small_flies;1;6;5;380
8;D3;CHFU;Small_flies;1;30;5;380
8;D5;CHFU;Small_flies;1;40;3;228
8;E2;CHFU;Hoverflies;1;19;11;836
8;E3;CHFU;Small_flies;1;24;7;532
8;E4;CHFU;Small_flies;1;40;7;532
8;E5;CHFU;House_flies;1;40;6;456
8;F3;CHFU;Small_flies;1;30;8;608
8;F4;CHFU;Small_flies;1;22;11;836
8;F6;CHFU;Small_flies;2;35;9;684
9;A5;LEMA;Small_flies;2;1;0;0
9;F6;LEMA;Small_beetles;2;1;0;0
9;C5;LEMA;Small_beetles;1;2;1;64
9;C4;LEMA;Hoverflies;1;4;1;64
9;C4;LEMA;Flower_beetles;1;4;1;64
9;D4;CHFU;Small_flies;2;100;4;304
9;E4;LEMA;Bees;1;1;2;128
9;C3;LEMA;Small_flies;2;1;2;128
9;E3;CHFU;Flower_beetles;1;70;3;228
9;A2;CHFU;Small_flies;2;20;5;380
9;D2;LEMA;Flower_beetles;2;1;0;0
9;E1;CHFU;Small_flies;4;30;2;152
9;F1;LEMA;Small_flies;2;1;0;0
9;F1;CHFU;Small_flies;4;16;2;152
1;A1;LEMA;Small_flies;1;12;3;192
1;B2;LEMA;Hoverflies;1;30;2;128
1;B2;LEMA;Flower_beetles;1;30;2;128
1;C4;LEMA;Bees;2;25;2;128
1;C2;LEMA;Small_flies;1;25;2;128
1;C5;LEMA;Small_flies;1;15;1;64
1;D2;LEMA;Flower_beetles;1;35;3;192
1;D3;LEMA;Small_flies;1;50;2;128
1;D5;LEMA;Small_flies;1;15;2;128
1;D5;LEMA;Flower_beetles;1;15;2;128
1;E2;LEMA;Flower_beetles;1;40;4;256
1;E3;LEMA;Flower_beetles;1;30;3;192
1;E4;LEMA;Flower_beetles;1;30;4;256
1;E4;LEMA;Flower_beetles;1;30;4;256
1;E4;LEMA;Flower_beetles;1;30;4;256
1;F2;LEMA;Small_flies;1;20;2;128
1;F3;LEMA;Hoverflies;1;25;2;128
1;F4;LEMA;Flower_beetles;1;30;3;192
1;F3;LEMA;Small_flies;1;25;2;128
1;E2;LEMA;Small_flies;1;40;4;256
1;F1;LEMA;Hoverflies;1;15;2;128
1;F1;LEMA;Hoverflies;1;15;2;128
1;F1;LEMA;Hoverflies;1;15;2;128
1;F1;LEMA;Small_flies;1;15;2;128
2;A4;LEMA;Small_flies;2;40;3;192
2;B2;LEMA;Small_beetles;1;25;2;128
2;B4;LEMA;Flower_beetles;1;30;3;192
2;B4;LEMA;Flower_beetles;1;30;3;192
2;B5;ME;House_flies;2;2;0;0
2;C1;LEMA;Hoverflies;1;10;5;320
2;C3;LEMA;Small_flies;1;20;6;384
2;C5;LEMA;Hoverflies;1;30;8;512
2;D3;ME;House_flies;2;20;120;120
2;D4;LEMA;Small_flies;2;4;2;128
2;D5;LEMA;Hoverflies;1;15;3;192
2;D6;LEMA;Small_flies;1;25;6;384
2;E4;LEMA;Flower_beetles;2;20;2;128
2;E4;LEMA;Bees;1;20;2;128
2;E4;ME;Flower_beetles;1;90;120;120
2;E5;LEMA;Small_flies;1;10;2;128
2;E6;LEMA;Bees;1;25;6;384
2;F2;LEMA;Flower_beetles;1;10;2;128
2;F3;LEMA;Small_flies;1;35;4;256
2;F4;LEMA;Flower_beetles;1;30;6;384
3;B1;LEMA;Hoverflies;1;6;2;128
3;B3;LEMA;Hoverflies;1;11;1;64
3;C3;LEMA;Bees;1;5;1;64
3;C4;LEMA;Hoverflies;1;9;1;64
3;D2;LEMA;Hoverflies;1;2;1;64
3;D2;LEMA;Small_flies;1;2;1;64
3;D2;LEMA;Flower_beetles;1;2;1;64
3;D2;LEMA;Small_flies;1;2;1;64
3;D3;LEMA;Flower_beetles;1;8;1;64
3;D3;LEMA;Hoverflies;1;8;1;64
3;D3;LEMA;Small_flies;1;8;1;64
3;D5;LEMA;Flower_beetles;1;15;1;64
3;D5;LEMA;Flower_beetles;1;15;1;64
3;D5;LEMA;Small_flies;1;15;1;64
3;D6;LEMA;Hoverflies;1;25;1;64
3;D6;LEMA;Hoverflies;1;25;1;64
3;D6;LEMA;Hoverflies;1;25;1;64
3;E1;LEMA;Flower_beetles;1;3;1;64
3;E2;LEMA;Flower_beetles;1;17;1;64
3;E4;LEMA;Small_flies;1;20;2;128
3;F1;LEMA;Hoverflies;1;12;2;128
3;F5;LEMA;Small_flies;1;40;2;128
3;F5;LEMA;Flower_beetles;1;40;2;128
4;A1;LEMA;Flower_beetles;1;4;2;128
4;A2;LEMA;Small_beetles;1;20;3;192
4;B2;LEMA;Small_flies;1;19;7;448
4;B4;LEMA;Bees;1;23;9;576
4;C1;LEMA;Small_flies;1;12;3;192
4;C2;LEMA;Flower_beetles;1;35;7;448
4;C3;LEMA;Flower_beetles;1;22;7;448
4;C4;LEMA;Bees;1;18;2;128
4;C4;LEMA;Small_beetles;1;18;2;128
4;C6;LEMA;Small_flies;1;6;3;192
4;D2;LEMA;Flower_beetles;1;3;1;64
4;E1;LEMA;Small_beetles;1;30;5;320
6;A1;LEMA;Small_flies;2;1;0;0
6;A1;LEMA;Flower_beetles;1;1;0;0
6;A3;LEMA;Small_flies;1;10;1;64
6;A6;LEMA;Small_flies;1;10;2;128
6;B1;LEMA;Small_beetles;1;2;3;192
6;B3;LEMA;Hoverflies;4;2;1;64
6;B3;LEMA;Flower_beetles;1;2;1;64
6;B3;LEMA;Small_flies;1;2;1;64
6;B4;LEMA;Small_flies;1;6;2;128
6;B4;LEMA;Small_flies;1;6;2;128
6;B4;LEMA;Hoverflies;1;6;2;128
6;B4;LEMA;Hoverflies;1;6;2;128
6;B4;LEMA;Small_beetles;1;6;2;128
6;B5;LEMA;Small_flies;1;5;2;128
6;C1;LEMA;Small_flies;1;7;5;320
6;C1;LEMA;Flower_beetles;1;7;5;320
6;C1;LEMA;Small_flies;1;7;5;320
6;C4;LEMA;Small_flies;1;2;3;192
6;C4;LEMA;Small_flies;1;2;3;192
6;C6;LEMA;Hoverflies;1;9;5;320
6;D1;LEMA;Small_flies;1;4;3;192
6;D1;LEMA;Small_flies;1;4;3;192
6;D3;LEMA;Flower_beetles;1;6;3;192
6;D3;LEMA;Small_beetles;1;6;3;192
6;D4;LEMA;Small_flies;1;14;4;256
6;D5;LEMA;Small_flies;1;1;1;64
6;E1;LEMA;Small_beetles;2;1;1;64
6;E2;LEMA;Hoverflies;1;5;4;256
6;F3;LEMA;Small_flies;1;7;5;320
6;F4;LEMA;Small_flies;1;8;2;128
7;A5;ME;Hoverflies;2;1;250;250
7;A6;LEMA;Small_flies;1;30;10;640
7;B3;ME;Hoverflies;1;1;0;0
7;B5;ME;Hoverflies;1;3;80;80
7;B6;CHFU;Small_flies;1;30;6;456
7;C1;LEMA;Small_flies;1;20;7;448
7;C1;LEMA;Small_flies;1;20;7;448
7;C2;CHFU;Small_flies;1;2;5;380
7;C4;LEMA;Hoverflies;1;30;7;448
7;C6;LEMA;Hoverflies;1;10;5;320
7;D2;CHFU;House_flies;1;10;0;0
7;D2;ME;Small_flies;1;1;0;0
7;D2;CHFU;Small_flies;1;10;0;0
7;D2;LEMA;Small_flies;1;2;2;128
7;D4;LEMA;Hoverflies;1;10;5;320
7;D5;LEMA;Hoverflies;1;10;6;384
7;D5;LEMA;Hoverflies;1;10;6;384
7;D5;LEMA;Hoverflies;1;10;6;384
7;E1;LEMA;Flower_beetles;1;1;0;0
7;E1;LEMA;Flower_beetles;1;1;0;0
7;E1;CHFU;Small_flies;1;1;1;76
7;E2;LEMA;Flower_beetles;1;1;5;320
7;E2;CHFU;Small_flies;1;2;3;228
7;E2;LEMA;Flower_beetles;1;1;5;320
7;E6;LEMA;Hoverflies;4;10;7;448
7;E6;LEMA;Hoverflies;1;10;7;448
7;E6;CHFU;Hoverflies;1;6;2;152
7;E6;LEMA;Hoverflies;1;10;7;448
7;F2;CHFU;Hoverflies;1;1;0;0
7;F2;LEMA;Small_flies;1;1;3;192
8;C2;LEMA;Small_beetles;1;5;6;384
8;C3;CHFU;Bees;1;24;7;532
8;C3;CHFU;Hoverflies;1;24;7;532
8;C4;LEMA;Small_flies;1;4;5;320
8;C4;LEMA;Small_flies;1;4;5;320
8;D1;LEMA;Flower_beetles;1;5;5;320
8;D1;LEMA;Small_flies;2;5;5;320
8;D2;LEMA;Hoverflies;1;9;8;512
8;D5;CHFU;Small_flies;1;40;3;228
8;D5;CHFU;House_flies;1;40;3;228
8;E2;ME;Flower_beetles;1;1;250;250
8;E4;CHFU;Small_flies;1;40;7;532
8;E4;CHFU;Bees;1;40;7;532
8;E6;ME;Bees;1;1;0;0
9;B5;LEMA;Flower_beetles;1;2;1;64
9;C4;LEMA;Flower_beetles;1;4;1;64
9;C4;LEMA;Flower_beetles;1;4;1;64
9;C5;LEMA;Flower_beetles;1;2;1;64
9;C5;LEMA;Hoverflies;1;2;1;64
9;D2;LEMA;Hoverflies;1;1;0;0
9;D2;LEMA;Flower_beetles;1;1;0;0
9;D3;LEMA;Flower_beetles;1;1;0;0
9;D3;LEMA;Flower_beetles;2;1;0;0
9;E2;LEMA;Small_beetles;1;1;1;64
9;E2;LEMA;Hoverflies;1;1;1;64
9;F1;CHFU;Small_flies;1;16;2;152
9;F5;LEMA;Small_beetles;1;1;0;0
9;F5;LEMA;Flower_beetles;1;1;0;0
9;F6;LEMA;Flower_beetles;1;1;0;0
1;A1;LEMA;Flower_beetles;1;12;3;192
1;A1;LEMA;Flower_beetles;1;12;3;192
1;A1;LEMA;Flower_beetles;1;12;3;192
1;A2;LEMA;Flower_beetles;1;20;2;128
1;A2;LEMA;Flower_beetles;1;20;2;128
1;A2;LEMA;Small_flies;1;20;2;128
1;A2;LEMA;Flower_beetles;1;20;2;128
1;A3;LEMA;Flower_beetles;1;25;2;128
1;A3;LEMA;Flower_beetles;1;25;2;128
1;A4;LEMA;Flower_beetles;1;15;2;128
1;A4;LEMA;Flower_beetles;1;15;2;128
1;A5;LEMA;Small_flies;1;30;4;256
1;A6;LEMA;Small_flies;1;6;2;128
1;A6;LEMA;Flower_beetles;1;6;2;128
1;A6;LEMA;Flower_beetles;1;6;2;128
1;B2;LEMA;Small_flies;1;30;2;128
1;B2;LEMA;Flower_beetles;1;30;2;128
1;C1;LEMA;Flower_beetles;1;12;2;128
1;C3;LEMA;Flower_beetles;1;11;2;128
1;C3;LEMA;Small_flies;1;11;2;128
1;C4;LEMA;Flower_beetles;1;25;2;128
1;C4;LEMA;Flower_beetles;1;25;2;128
1;D1;LEMA;Flower_beetles;1;25;3;192
1;D1;LEMA;Flower_beetles;1;25;3;192
1;D3;LEMA;Flower_beetles;1;50;2;128
1;D3;LEMA;Small_flies;1;50;2;128
1;D3;LEMA;Flower_beetles;1;50;2;128
1;D3;LEMA;Flower_beetles;1;50;2;128
1;D3;LEMA;Flower_beetles;1;50;2;128
1;D3;LEMA;Flower_beetles;1;50;2;128
1;D4;LEMA;Flower_beetles;1;40;3;192
1;D5;LEMA;Hoverflies;1;15;2;128
1;D5;LEMA;Flower_beetles;1;15;2;128
1;D5;LEMA;Flower_beetles;1;15;2;128
1;E1;LEMA;Flower_beetles;1;30;3;192
1;E1;LEMA;Flower_beetles;1;30;3;192
1;E1;LEMA;Flower_beetles;1;30;3;192
1;E3;LEMA;Hoverflies;1;30;3;192
1;E3;LEMA;Hoverflies;1;30;3;192
1;E3;LEMA;Flower_beetles;1;30;3;192
1;E3;LEMA;Flower_beetles;1;30;3;192
1;E4;LEMA;Flower_beetles;1;30;4;256
1;F5;LEMA;Flower_beetles;1;35;4;256
2;A1;LEMA;Flower_beetles;1;30;2;128
2;A1;LEMA;Small_flies;1;30;2;128
2;A3;LEMA;Flower_beetles;1;12;1;64
2;A5;LEMA;Hoverflies;1;50;3;192
2;A5;ME;Hoverflies;1;3;90;90
2;B1;LEMA;Flower_beetles;1;10;3;192
2;C3;LEMA;Flower_beetles;1;20;6;384
2;C5;LEMA;Flower_beetles;1;30;8;512
2;C6;LEMA;Flower_beetles;1;25;6;384
2;C6;LEMA;Small_beetles;1;25;6;384
2;D1;LEMA;Hoverflies;1;20;6;384
2;D2;ME;Bees;1;9;75;75
2;D6;LEMA;Hoverflies;1;25;6;384
2;E2;ME;Small_flies;1;30;130;130
2;E3;LEMA;Small_beetles;1;12;2;128
2;E6;LEMA;Hoverflies;1;25;6;384
2;E6;LEMA;Flower_beetles;4;25;6;384
2;E6;LEMA;Small_beetles;1;25;6;384
2;F6;LEMA;Small_beetles;3;20;4;256
2;F6;LEMA;Flower_beetles;1;20;4;256
3;A1;LEMA;Small_flies;1;2;2;128
3;A5;LEMA;Flower_beetles;1;10;1;64
3;B1;LEMA;Flower_beetles;1;6;2;128
3;B2;LEMA;Flower_beetles;1;10;1;64
3;B3;LEMA;Flower_beetles;2;11;1;64
3;B5;LEMA;Flower_beetles;2;20;2;128
3;B6;LEMA;Flower_beetles;2;20;1;64
3;C1;LEMA;Flower_beetles;2;7;1;64
3;C5;LEMA;Flower_beetles;1;8;1;64
3;C6;LEMA;Small_beetles;1;30;1;64
3;C6;LEMA;Flower_beetles;3;30;1;64
3;D1;LEMA;Flower_beetles;3;4;1;64
3;D2;LEMA;Flower_beetles;1;2;1;64
3;D6;LEMA;Flower_beetles;1;25;1;64
3;E1;LEMA;Flower_beetles;2;3;1;64
3;E1;LEMA;Small_beetles;1;3;1;64
3;E3;LEMA;Small_beetles;1;14;2;128
3;E5;LEMA;Flower_beetles;1;25;2;128
3;F1;LEMA;Flower_beetles;2;12;2;128
3;F1;LEMA;Small_beetles;1;12;2;128
3;F2;LEMA;Flower_beetles;1;20;2;128
3;F2;LEMA;Bees;1;20;2;128
3;F4;LEMA;Flower_beetles;2;30;3;192
3;F4;LEMA;Small_beetles;1;30;3;192
3;F5;LEMA;Flower_beetles;1;40;2;128
3;F5;LEMA;Bees;1;40;2;128
3;F6;LEMA;Flower_beetles;1;30;2;128
3;F6;LEMA;Flower_beetles;1;30;2;128
4;A2;LEMA;Hoverflies;1;20;3;192
4;A2;LEMA;Flower_beetles;1;20;3;192
4;A2;LEMA;Flower_beetles;1;20;3;192
4;B4;ME;Bees;1;1;0;0
4;B4;LEMA;Bees;1;23;9;576
4;C2;LEMA;Flower_beetles;1;35;7;448
4;C2;LEMA;Hoverflies;1;35;7;448
4;C2;LEMA;Small_flies;1;35;7;448
4;D5;LEMA;Small_flies;1;10;3;192
4;D5;LEMA;Hoverflies;1;10;3;192
4;F4;LEMA;Flower_beetles;2;9;3;192
4;F6;LEMA;Flower_beetles;1;5;9;576
4;F6;LEMA;Flower_beetles;1;5;9;576
4;F6;LEMA;Flower_beetles;1;5;9;576
5;A1;LEMA;Hoverflies;1;4;2;128
5;A1;LEMA;Small_flies;1;4;2;128
5;A2;LEMA;Hoverflies;1;2;2;128
5;A4;LEMA;Small_beetles;1;8;6;384
5;A6;LEMA;Flower_beetles;1;11;3;192
5;B2;LEMA;Hoverflies;1;35;4;256
5;B5;LEMA;Flower_beetles;1;9;2;128
5;C1;LEMA;Flower_beetles;1;3;3;192
5;C1;LEMA;Hoverflies;1;3;3;192
5;C3;LEMA;Flower_beetles;1;25;3;192
5;C4;LEMA;Flower_beetles;1;10;2;128
5;C5;LEMA;Small_flies;2;5;2;128
5;D1;LEMA;Small_beetles;1;14;3;192
5;D4;LEMA;Flower_beetles;1;12;5;320
5;D5;LEMA;Hoverflies;1;17;2;128
5;E1;LEMA;Hoverflies;1;20;11;704
5;E1;LEMA;Hoverflies;1;20;11;704
5;E5;LEMA;Small_beetles;1;11;6;384
5;F1;LEMA;Flower_beetles;1;25;3;192
5;F4;LEMA;Small_beetles;2;40;10;640
6;A1;LEMA;Flower_beetles;2;1;0;0
6;A4;LEMA;Hoverflies;1;3;1;64
6;B3;LEMA;Small_beetles;1;2;1;64
6;C3;LEMA;Small_beetles;1;5;4;256
6;C6;LEMA;Flower_beetles;1;9;5;320
6;D1;LEMA;Flower_beetles;1;4;3;192
6;D5;LEMA;Flower_beetles;1;1;1;64
6;F2;LEMA;Flower_beetles;1;3;3;192
6;F5;LEMA;Flower_beetles;2;11;6;384
6;F6;LEMA;Small_beetles;1;14;3;192
7;B5;LEMA;Small_flies;1;30;5;320
7;B6;LEMA;Flower_beetles;1;20;5;320
7;C2;LEMA;Small_flies;1;6;6;384
7;C3;LEMA;Flower_beetles;1;15;9;576
7;D3;LEMA;Hoverflies;1;12;7;448
7;D5;LEMA;Flower_beetles;1;10;6;384
7;D6;LEMA;Flower_beetles;1;4;3;192
7;D6;LEMA;Flower_beetles;1;4;3;192
7;D6;LEMA;Small_flies;1;4;3;192
7;E3;LEMA;Hoverflies;1;10;6;384
7;E3;LEMA;Flower_beetles;1;10;6;384
8;A1;LEMA;Flower_beetles;1;1;0;0
8;A1;LEMA;Small_beetles;2;1;0;0
8;B2;LEMA;Small_beetles;2;4;5;320
8;B3;LEMA;Flower_beetles;1;3;3;192
8;B5;LEMA;Small_beetles;1;1;3;192
8;B5;ME;Hoverflies;1;1;0;0
8;C1;LEMA;Small_beetles;1;1;3;192
8;C4;LEMA;Flower_beetles;1;4;5;320
8;D4;LEMA;Flower_beetles;1;2;2;128
8;D6;LEMA;Flower_beetles;1;3;4;256
8;E6;LEMA;Flower_beetles;1;2;6;384
8;F2;LEMA;Hoverflies;1;1;2;128
8;F4;LEMA;Small_beetles;1;3;3;192
8;F4;LEMA;Flower_beetles;2;3;3;192
8;F5;ME;Flower_beetles;1;1;0;0
8;F6;LEMA;Small_flies;1;6;3;192
9;A3;LEMA;Flower_beetles;1;3;2;128
9;A3;LEMA;Flower_beetles;1;3;2;128
9;A5;LEMA;Flower_beetles;1;1;0;0
9;B2;LEMA;Flower_beetles;1;11;2;128
9;B4;LEMA;Flower_beetles;1;3;2;128
9;B5;LEMA;Flower_beetles;1;2;1;64
9;B5;LEMA;Flower_beetles;1;2;1;64
9;B5;LEMA;Flower_beetles;1;2;1;64
9;B5;LEMA;Flower_beetles;1;2;1;64
9;E1;LEMA;Flower_beetles;1;1;0;0
9;E1;LEMA;Flower_beetles;1;1;0;0
9;E2;LEMA;Flower_beetles;1;1;1;64
9;E5;LEMA;Flower_beetles;1;3;1;64
9;E6;LEMA;Flower_beetles;1;8;2;128
1;A4;LEMA;Bees;1;15;2;128
1;B1;LEMA;Hoverflies;1;10;2;128
1;B5;LEMA;Flower_beetles;1;30;6;384
1;C1;LEMA;House_flies;1;12;2;128
1;C5;LEMA;Hoverflies;1;15;1;64
1;D2;ME;House_flies;1;1;0;0
1;E1;LEMA;Flower_beetles;1;30;3;192
1;E2;LEMA;Hoverflies;1;40;4;256
1;E2;LEMA;Hoverflies;1;40;4;256
1;E2;LEMA;Flower_beetles;1;40;4;256
1;E6;LEMA;Flower_beetles;3;30;4;256
1;F6;LEMA;Hoverflies;1;20;3;192
1;F6;LEMA;Hoverflies;1;20;3;192
2;A1;LEMA;Hoverflies;1;30;2;128
2;B1;LEMA;Flower_beetles;1;10;3;192
2;B5;ME;Flower_beetles;1;2;0;0
2;B6;LEMA;Flower_beetles;1;25;4;256
2;C1;LEMA;Flower_beetles;1;10;5;320
2;C1;ME;Flower_beetles;1;3;0;0
2;E2;LEMA;Hoverflies;1;30;4;256
2;F1;LEMA;Flower_beetles;1;20;3;192
3;B1;LEMA;Hoverflies;1;6;2;128
