"","Bees","House_flies","Hoverflies","Small_beetles","Small_flies"
"A4 CHFU 36",0,0,0,0,0.02
"A4 CHFU 37",0,0,0,0,0.02
"A4 CHFU 38",0,0,0,0,0.02
"A4 CHFU 39",0,0,0,0,0.02
"A4 CHFU 4",0,0,0,0,0.02
"A4 CHFU 40",0,0,0,0,0.02
"A4 CHFU 41",0,0,0,0,0.02
"A4 CHFU 42",0,0,0,0,0.02
"A4 CHFU 43",0,0,0,0,0.02
"A4 CHFU 44",0,0,0,0,0.02
"A4 CHFU 45",0,0,0,0,0.02
"A4 CHFU 46",0,0,0,0,0.02
"A4 CHFU 47",0,0,0,0,0.02
"A4 CHFU 48",0,0,0,0,0.02
"A4 CHFU 49",0,0,0,0,0.02
"A4 CHFU 5",0,0,0,0,0.02
"A4 CHFU 50",0,0,0,0,0.02
"A4 CHFU 6",0,0,0,0,0.02
"A4 CHFU 7",0,0,0,0,0.02
"A4 CHFU 8",0,0,0,0,0.02
"A4 CHFU 9",0,0,0,0,0.02
"A5 CHFU 1",0,0,0,0,0.0285714285714286
"A5 CHFU 10",0,0,0,0,0.0285714285714286
"A5 CHFU 11",0,0,0,0,0.0285714285714286
"A5 CHFU 12",0,0,0,0,0.0285714285714286
"A5 CHFU 13",0,0,0,0,0.0285714285714286
"A5 CHFU 14",0,0,0,0,0.0285714285714286
"A5 CHFU 15",0,0,0,0,0.0285714285714286
"A5 CHFU 16",0,0,0,0,0.0285714285714286
"A5 CHFU 17",0,0,0,0,0.0285714285714286
"A5 CHFU 18",0,0,0,0,0.0285714285714286
"A5 CHFU 19",0,0,0,0,0.0285714285714286
"A5 CHFU 2",0,0,0,0,0.0285714285714286
"A5 CHFU 20",0,0,0,0,0.0285714285714286
"A5 CHFU 21",0,0,0,0,0.0285714285714286
"A5 CHFU 22",0,0,0,0,0.0285714285714286
"A5 CHFU 23",0,0,0,0,0.0285714285714286
"A5 CHFU 24",0,0,0,0,0.0285714285714286
"A5 CHFU 25",0,0,0,0,0.0285714285714286
"A5 CHFU 26",0,0,0,0,0.0285714285714286
"A5 CHFU 27",0,0,0,0,0.0285714285714286
"A5 CHFU 28",0,0,0,0,0.0285714285714286
"A5 CHFU 29",0,0,0,0,0.0285714285714286
"A5 CHFU 3",0,0,0,0,0.0285714285714286
"A5 CHFU 30",0,0,0,0,0.0285714285714286
"A5 CHFU 31",0,0,0,0,0.0285714285714286
"A5 CHFU 32",0,0,0,0,0.0285714285714286
"A5 CHFU 33",0,0,0,0,0.0285714285714286
"A5 CHFU 34",0,0,0,0,0.0285714285714286
"A5 CHFU 35",0,0,0,0,0.0285714285714286
"A5 CHFU 36",0,0,0,0,0.0285714285714286
"A5 CHFU 37",0,0,0,0,0.0285714285714286
"A5 CHFU 38",0,0,0,0,0.0285714285714286
"A5 CHFU 39",0,0,0,0,0.0285714285714286
"A5 CHFU 4",0,0,0,0,0.0285714285714286
"A5 CHFU 40",0,0,0,0,0.0285714285714286
"A5 CHFU 41",0,0,0,0,0.0285714285714286
"A5 CHFU 42",0,0,0,0,0.0285714285714286
"A5 CHFU 43",0,0,0,0,0.0285714285714286
"A5 CHFU 44",0,0,0,0,0.0285714285714286
"A5 CHFU 45",0,0,0,0,0.0285714285714286
"A5 CHFU 46",0,0,0,0,0.0285714285714286
"A5 CHFU 47",0,0,0,0,0.0285714285714286
"A5 CHFU 48",0,0,0,0,0.0285714285714286
"A5 CHFU 49",0,0,0,0,0.0285714285714286
"A5 CHFU 5",0,0,0,0,0.0285714285714286
"A5 CHFU 50",0,0,0,0,0.0285714285714286
"A5 CHFU 51",0,0,0,0,0.0285714285714286
"A5 CHFU 52",0,0,0,0,0.0285714285714286
"A5 CHFU 53",0,0,0,0,0.0285714285714286
"A5 CHFU 54",0,0,0,0,0.0285714285714286
"A5 CHFU 55",0,0,0,0,0.0285714285714286
"A5 CHFU 56",0,0,0,0,0.0285714285714286
"A5 CHFU 57",0,0,0,0,0.0285714285714286
"A5 CHFU 58",0,0,0,0,0.0285714285714286
"A5 CHFU 59",0,0,0,0,0.0285714285714286
"A5 CHFU 6",0,0,0,0,0.0285714285714286
"A5 CHFU 60",0,0,0,0,0.0285714285714286
"A5 CHFU 61",0,0,0,0,0.0285714285714286
"A5 CHFU 62",0,0,0,0,0.0285714285714286
"A5 CHFU 63",0,0,0,0,0.0285714285714286
"A5 CHFU 64",0,0,0,0,0.0285714285714286
"A5 CHFU 65",0,0,0,0,0.0285714285714286
"A5 CHFU 66",0,0,0,0,0.0285714285714286
"A5 CHFU 67",0,0,0,0,0.0285714285714286
"A5 CHFU 68",0,0,0,0,0.0285714285714286
"A5 CHFU 69",0,0,0,0,0.0285714285714286
"A5 CHFU 7",0,0,0,0,0.0285714285714286
"A5 CHFU 70",0,0,0,0,0.0285714285714286
"A5 CHFU 8",0,0,0,0,0.0285714285714286
"A5 CHFU 9",0,0,0,0,0.0285714285714286
"A6 CHFU 1",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 10",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 11",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 12",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 13",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 14",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 15",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 16",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 17",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 18",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 19",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 2",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 20",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 21",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 22",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 23",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 24",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 25",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 26",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 27",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 28",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 29",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 3",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 30",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 31",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 32",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 33",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 34",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 35",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 36",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 37",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 38",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 39",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 4",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 40",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 41",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 42",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 43",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 44",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 45",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 46",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 47",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 48",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 49",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 5",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 50",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 51",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 52",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 53",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 54",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 55",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 56",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 57",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 58",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 59",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 6",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 60",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 7",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 8",0,0,0.0166666666666667,0,0.0166666666666667
"A6 CHFU 9",0,0,0.0166666666666667,0,0.0166666666666667
"B1 CHFU 1",0,0,0,0,0.2
"B1 CHFU 2",0,0,0,0,0.2
"B1 CHFU 3",0,0,0,0,0.2
"B1 CHFU 4",0,0,0,0,0.2
"B1 CHFU 5",0,0,0,0,0.2
"B2 CHFU 1",0,0,0.0625,0,0
"B2 CHFU 10",0,0,0.0625,0,0
"B2 CHFU 11",0,0,0.0625,0,0
"B2 CHFU 12",0,0,0.0625,0,0
"B2 CHFU 13",0,0,0.0625,0,0
"B2 CHFU 14",0,0,0.0625,0,0
"B2 CHFU 15",0,0,0.0625,0,0
"B2 CHFU 16",0,0,0.0625,0,0
"B2 CHFU 2",0,0,0.0625,0,0
"B2 CHFU 3",0,0,0.0625,0,0
"B2 CHFU 4",0,0,0.0625,0,0
"B2 CHFU 5",0,0,0.0625,0,0
"B2 CHFU 6",0,0,0.0625,0,0
"B2 CHFU 7",0,0,0.0625,0,0
"B2 CHFU 8",0,0,0.0625,0,0
"B2 CHFU 9",0,0,0.0625,0,0
"B3 CHFU 1",0,0,0.0454545454545455,0,0
"B3 CHFU 10",0,0,0.0454545454545455,0,0
"B3 CHFU 11",0,0,0.0454545454545455,0,0
"B3 CHFU 12",0,0,0.0454545454545455,0,0
"B3 CHFU 13",0,0,0.0454545454545455,0,0
"B3 CHFU 14",0,0,0.0454545454545455,0,0
"B3 CHFU 15",0,0,0.0454545454545455,0,0
"B3 CHFU 16",0,0,0.0454545454545455,0,0
"B3 CHFU 17",0,0,0.0454545454545455,0,0
"B3 CHFU 18",0,0,0.0454545454545455,0,0
"B3 CHFU 19",0,0,0.0454545454545455,0,0
"B3 CHFU 2",0,0,0.0454545454545455,0,0
"B3 CHFU 20",0,0,0.0454545454545455,0,0
"B3 CHFU 21",0,0,0.0454545454545455,0,0
"B3 CHFU 22",0,0,0.0454545454545455,0,0
"B3 CHFU 3",0,0,0.0454545454545455,0,0
"B3 CHFU 4",0,0,0.0454545454545455,0,0
"B3 CHFU 5",0,0,0.0454545454545455,0,0
"B3 CHFU 6",0,0,0.0454545454545455,0,0
"B3 CHFU 7",0,0,0.0454545454545455,0,0
"B3 CHFU 8",0,0,0.0454545454545455,0,0
"B3 CHFU 9",0,0,0.0454545454545455,0,0
"B4 CHFU 1",0,0,0,0,0.04
"B4 CHFU 10",0,0,0,0,0.04
"B4 CHFU 11",0,0,0,0,0.04
"B4 CHFU 12",0,0,0,0,0.04
"B4 CHFU 13",0,0,0,0,0.04
"B4 CHFU 14",0,0,0,0,0.04
"B4 CHFU 15",0,0,0,0,0.04
"B4 CHFU 16",0,0,0,0,0.04
"B4 CHFU 17",0,0,0,0,0.04
"B4 CHFU 18",0,0,0,0,0.04
"B4 CHFU 19",0,0,0,0,0.04
"B4 CHFU 2",0,0,0,0,0.04
"B4 CHFU 20",0,0,0,0,0.04
"B4 CHFU 21",0,0,0,0,0.04
"B4 CHFU 22",0,0,0,0,0.04
"B4 CHFU 23",0,0,0,0,0.04
"B4 CHFU 24",0,0,0,0,0.04
"B4 CHFU 25",0,0,0,0,0.04
"B4 CHFU 3",0,0,0,0,0.04
"B4 CHFU 4",0,0,0,0,0.04
"B4 CHFU 5",0,0,0,0,0.04
"B4 CHFU 6",0,0,0,0,0.04
"B4 CHFU 7",0,0,0,0,0.04
"B4 CHFU 8",0,0,0,0,0.04
"B4 CHFU 9",0,0,0,0,0.04
"B5 CHFU 1",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 10",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 11",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 12",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 13",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 14",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 15",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 16",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 17",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 18",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 19",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 2",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 20",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 21",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 22",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 23",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 24",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 25",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 26",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 27",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 28",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 29",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 3",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 30",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 4",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 5",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 6",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 7",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 8",0,0,0.0333333333333333,0,0.0666666666666667
"B5 CHFU 9",0,0,0.0333333333333333,0,0.0666666666666667
"B6 CHFU 1",0,0,0,0,0.0384615384615385
"B6 CHFU 10",0,0,0,0,0.0384615384615385
"B6 CHFU 11",0,0,0,0,0.0384615384615385
"B6 CHFU 12",0,0,0,0,0.0384615384615385
"B6 CHFU 13",0,0,0,0,0.0384615384615385
"B6 CHFU 14",0,0,0,0,0.0384615384615385
"B6 CHFU 15",0,0,0,0,0.0384615384615385
"B6 CHFU 16",0,0,0,0,0.0384615384615385
"B6 CHFU 17",0,0,0,0,0.0384615384615385
"B6 CHFU 18",0,0,0,0,0.0384615384615385
"B6 CHFU 19",0,0,0,0,0.0384615384615385
"B6 CHFU 2",0,0,0,0,0.0384615384615385
"B6 CHFU 20",0,0,0,0,0.0384615384615385
"B6 CHFU 21",0,0,0,0,0.0384615384615385
"B6 CHFU 22",0,0,0,0,0.0384615384615385
"B6 CHFU 23",0,0,0,0,0.0384615384615385
"B6 CHFU 24",0,0,0,0,0.0384615384615385
"B6 CHFU 25",0,0,0,0,0.0384615384615385
"B6 CHFU 26",0,0,0,0,0.0384615384615385
"B6 CHFU 3",0,0,0,0,0.0384615384615385
"B6 CHFU 4",0,0,0,0,0.0384615384615385
"B6 CHFU 5",0,0,0,0,0.0384615384615385
"B6 CHFU 6",0,0,0,0,0.0384615384615385
"B6 CHFU 7",0,0,0,0,0.0384615384615385
"B6 CHFU 8",0,0,0,0,0.0384615384615385
"B6 CHFU 9",0,0,0,0,0.0384615384615385
"C2 CHFU 1",0,0,0.0526315789473684,0,0
"C2 CHFU 10",0,0,0.0526315789473684,0,0
"C2 CHFU 11",0,0,0.0526315789473684,0,0
"C2 CHFU 12",0,0,0.0526315789473684,0,0
"C2 CHFU 13",0,0,0.0526315789473684,0,0
"C2 CHFU 14",0,0,0.0526315789473684,0,0
"C2 CHFU 15",0,0,0.0526315789473684,0,0
"C2 CHFU 16",0,0,0.0526315789473684,0,0
"C2 CHFU 17",0,0,0.0526315789473684,0,0
"C2 CHFU 18",0,0,0.0526315789473684,0,0
"C2 CHFU 19",0,0,0.0526315789473684,0,0
"C2 CHFU 2",0,0,0.0526315789473684,0,0
"C2 CHFU 3",0,0,0.0526315789473684,0,0
"C2 CHFU 4",0,0,0.0526315789473684,0,0
"C2 CHFU 5",0,0,0.0526315789473684,0,0
"C2 CHFU 6",0,0,0.0526315789473684,0,0
"C2 CHFU 7",0,0,0.0526315789473684,0,0
"C2 CHFU 8",0,0,0.0526315789473684,0,0
"C2 CHFU 9",0,0,0.0526315789473684,0,0
"C3 CHFU 1",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 10",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 11",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 12",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 13",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 14",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 15",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 16",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 17",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 18",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 19",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 2",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 20",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 21",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 22",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 23",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 24",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 3",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 4",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 5",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 6",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 7",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 8",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C3 CHFU 9",0.0416666666666667,0,0.0416666666666667,0,0.0416666666666667
"C4 CHFU 1",0,0,0,0,0.0285714285714286
"C4 CHFU 10",0,0,0,0,0.0285714285714286
"C4 CHFU 11",0,0,0,0,0.0285714285714286
"C4 CHFU 12",0,0,0,0,0.0285714285714286
"C4 CHFU 13",0,0,0,0,0.0285714285714286
"C4 CHFU 14",0,0,0,0,0.0285714285714286
"C4 CHFU 15",0,0,0,0,0.0285714285714286
"C4 CHFU 16",0,0,0,0,0.0285714285714286
"C4 CHFU 17",0,0,0,0,0.0285714285714286
"C4 CHFU 18",0,0,0,0,0.0285714285714286
"C4 CHFU 19",0,0,0,0,0.0285714285714286
"C4 CHFU 2",0,0,0,0,0.0285714285714286
"C4 CHFU 20",0,0,0,0,0.0285714285714286
"C4 CHFU 21",0,0,0,0,0.0285714285714286
"C4 CHFU 22",0,0,0,0,0.0285714285714286
"C4 CHFU 23",0,0,0,0,0.0285714285714286
"C4 CHFU 24",0,0,0,0,0.0285714285714286
"C4 CHFU 25",0,0,0,0,0.0285714285714286
"C4 CHFU 26",0,0,0,0,0.0285714285714286
"C4 CHFU 27",0,0,0,0,0.0285714285714286
"C4 CHFU 28",0,0,0,0,0.0285714285714286
"C4 CHFU 29",0,0,0,0,0.0285714285714286
"C4 CHFU 3",0,0,0,0,0.0285714285714286
"C4 CHFU 30",0,0,0,0,0.0285714285714286
"C4 CHFU 31",0,0,0,0,0.0285714285714286
"C4 CHFU 32",0,0,0,0,0.0285714285714286
"C4 CHFU 33",0,0,0,0,0.0285714285714286
"C4 CHFU 34",0,0,0,0,0.0285714285714286
"C4 CHFU 35",0,0,0,0,0.0285714285714286
"C4 CHFU 4",0,0,0,0,0.0285714285714286
"C4 CHFU 5",0,0,0,0,0.0285714285714286
"C4 CHFU 6",0,0,0,0,0.0285714285714286
"C4 CHFU 7",0,0,0,0,0.0285714285714286
"C4 CHFU 8",0,0,0,0,0.0285714285714286
"C4 CHFU 9",0,0,0,0,0.0285714285714286
"C6 CHFU 1",0,0,0,0,0.0222222222222222
"C6 CHFU 10",0,0,0,0,0.0222222222222222
"C6 CHFU 11",0,0,0,0,0.0222222222222222
"C6 CHFU 12",0,0,0,0,0.0222222222222222
"C6 CHFU 13",0,0,0,0,0.0222222222222222
"C6 CHFU 14",0,0,0,0,0.0222222222222222
"C6 CHFU 15",0,0,0,0,0.0222222222222222
"C6 CHFU 16",0,0,0,0,0.0222222222222222
"C6 CHFU 17",0,0,0,0,0.0222222222222222
"C6 CHFU 18",0,0,0,0,0.0222222222222222
"C6 CHFU 19",0,0,0,0,0.0222222222222222
"C6 CHFU 2",0,0,0,0,0.0222222222222222
"C6 CHFU 20",0,0,0,0,0.0222222222222222
"C6 CHFU 21",0,0,0,0,0.0222222222222222
"C6 CHFU 22",0,0,0,0,0.0222222222222222
"C6 CHFU 23",0,0,0,0,0.0222222222222222
"C6 CHFU 24",0,0,0,0,0.0222222222222222
"C6 CHFU 25",0,0,0,0,0.0222222222222222
"C6 CHFU 26",0,0,0,0,0.0222222222222222
"C6 CHFU 27",0,0,0,0,0.0222222222222222
"C6 CHFU 28",0,0,0,0,0.0222222222222222
"C6 CHFU 29",0,0,0,0,0.0222222222222222
"C6 CHFU 3",0,0,0,0,0.0222222222222222
"C6 CHFU 30",0,0,0,0,0.0222222222222222
"C6 CHFU 31",0,0,0,0,0.0222222222222222
"C6 CHFU 32",0,0,0,0,0.0222222222222222
"C6 CHFU 33",0,0,0,0,0.0222222222222222
"C6 CHFU 34",0,0,0,0,0.0222222222222222
"C6 CHFU 35",0,0,0,0,0.0222222222222222
"C6 CHFU 36",0,0,0,0,0.0222222222222222
"C6 CHFU 37",0,0,0,0,0.0222222222222222
"C6 CHFU 38",0,0,0,0,0.0222222222222222
"C6 CHFU 39",0,0,0,0,0.0222222222222222
"C6 CHFU 4",0,0,0,0,0.0222222222222222
"C6 CHFU 40",0,0,0,0,0.0222222222222222
"C6 CHFU 41",0,0,0,0,0.0222222222222222
"C6 CHFU 42",0,0,0,0,0.0222222222222222
"C6 CHFU 43",0,0,0,0,0.0222222222222222
"C6 CHFU 44",0,0,0,0,0.0222222222222222
"C6 CHFU 45",0,0,0,0,0.0222222222222222
"C6 CHFU 5",0,0,0,0,0.0222222222222222
"C6 CHFU 6",0,0,0,0,0.0222222222222222
"C6 CHFU 7",0,0,0,0,0.0222222222222222
"C6 CHFU 8",0,0,0,0,0.0222222222222222
"C6 CHFU 9",0,0,0,0,0.0222222222222222
"D1 CHFU 1",0,0,3,0,0
"D2 CHFU 1",0,0,0.166666666666667,0.166666666666667,0.166666666666667
"D2 CHFU 2",0,0,0.166666666666667,0.166666666666667,0.166666666666667
"D2 CHFU 3",0,0,0.166666666666667,0.166666666666667,0.166666666666667
"D2 CHFU 4",0,0,0.166666666666667,0.166666666666667,0.166666666666667
"D2 CHFU 5",0,0,0.166666666666667,0.166666666666667,0.166666666666667
"D2 CHFU 6",0,0,0.166666666666667,0.166666666666667,0.166666666666667
"D3 CHFU 1",0,0,0,0,0.0333333333333333
"D3 CHFU 10",0,0,0,0,0.0333333333333333
"D3 CHFU 11",0,0,0,0,0.0333333333333333
"D3 CHFU 12",0,0,0,0,0.0333333333333333
"D3 CHFU 13",0,0,0,0,0.0333333333333333
"D3 CHFU 14",0,0,0,0,0.0333333333333333
"D3 CHFU 15",0,0,0,0,0.0333333333333333
"D3 CHFU 16",0,0,0,0,0.0333333333333333
"D3 CHFU 17",0,0,0,0,0.0333333333333333
"D3 CHFU 18",0,0,0,0,0.0333333333333333
"D3 CHFU 19",0,0,0,0,0.0333333333333333
"D3 CHFU 2",0,0,0,0,0.0333333333333333
"D3 CHFU 20",0,0,0,0,0.0333333333333333
"D3 CHFU 21",0,0,0,0,0.0333333333333333
"D3 CHFU 22",0,0,0,0,0.0333333333333333
