"","Flower_beetles","Hoverflies","Small_beetles","Small_flies"
"E1 LEMA 16",0.2,0.1,0,0.1
"E1 LEMA 17",0.2,0.1,0,0.1
"E1 LEMA 18",0.2,0.1,0,0.1
"E1 LEMA 19",0.2,0.1,0,0.1
"E1 LEMA 2",0.2,0.1,0,0.1
"E1 LEMA 20",0.2,0.1,0,0.1
"E1 LEMA 3",0.2,0.1,0,0.1
"E1 LEMA 4",0.2,0.1,0,0.1
"E1 LEMA 5",0.2,0.1,0,0.1
"E1 LEMA 6",0.2,0.1,0,0.1
"E1 LEMA 7",0.2,0.1,0,0.1
"E1 LEMA 8",0.2,0.1,0,0.1
"E1 LEMA 9",0.2,0.1,0,0.1
"E5 LEMA 1",0,0,0.0909090909090909,0
"E5 LEMA 10",0,0,0.0909090909090909,0
"E5 LEMA 11",0,0,0.0909090909090909,0
"E5 LEMA 2",0,0,0.0909090909090909,0
"E5 LEMA 3",0,0,0.0909090909090909,0
"E5 LEMA 4",0,0,0.0909090909090909,0
"E5 LEMA 5",0,0,0.0909090909090909,0
"E5 LEMA 6",0,0,0.0909090909090909,0
"E5 LEMA 7",0,0,0.0909090909090909,0
"E5 LEMA 8",0,0,0.0909090909090909,0
"E5 LEMA 9",0,0,0.0909090909090909,0
"F1 LEMA 1",0.04,0,0,0
"F1 LEMA 10",0.04,0,0,0
"F1 LEMA 11",0.04,0,0,0
"F1 LEMA 12",0.04,0,0,0
"F1 LEMA 13",0.04,0,0,0
"F1 LEMA 14",0.04,0,0,0
"F1 LEMA 15",0.04,0,0,0
"F1 LEMA 16",0.04,0,0,0
"F1 LEMA 17",0.04,0,0,0
"F1 LEMA 18",0.04,0,0,0
"F1 LEMA 19",0.04,0,0,0
"F1 LEMA 2",0.04,0,0,0
"F1 LEMA 20",0.04,0,0,0
"F1 LEMA 21",0.04,0,0,0
"F1 LEMA 22",0.04,0,0,0
"F1 LEMA 23",0.04,0,0,0
"F1 LEMA 24",0.04,0,0,0
"F1 LEMA 25",0.04,0,0,0
"F1 LEMA 3",0.04,0,0,0
"F1 LEMA 4",0.04,0,0,0
"F1 LEMA 5",0.04,0,0,0
"F1 LEMA 6",0.04,0,0,0
"F1 LEMA 7",0.04,0,0,0
"F1 LEMA 8",0.04,0,0,0
"F1 LEMA 9",0.04,0,0,0
"F4 LEMA 1",0,0,0.05,0
"F4 LEMA 10",0,0,0.05,0
"F4 LEMA 11",0,0,0.05,0
"F4 LEMA 12",0,0,0.05,0
"F4 LEMA 13",0,0,0.05,0
"F4 LEMA 14",0,0,0.05,0
"F4 LEMA 15",0,0,0.05,0
"F4 LEMA 16",0,0,0.05,0
"F4 LEMA 17",0,0,0.05,0
"F4 LEMA 18",0,0,0.05,0
"F4 LEMA 19",0,0,0.05,0
"F4 LEMA 2",0,0,0.05,0
"F4 LEMA 20",0,0,0.05,0
"F4 LEMA 21",0,0,0.05,0
"F4 LEMA 22",0,0,0.05,0
"F4 LEMA 23",0,0,0.05,0
"F4 LEMA 24",0,0,0.05,0
"F4 LEMA 25",0,0,0.05,0
"F4 LEMA 26",0,0,0.05,0
"F4 LEMA 27",0,0,0.05,0
"F4 LEMA 28",0,0,0.05,0
"F4 LEMA 29",0,0,0.05,0
"F4 LEMA 3",0,0,0.05,0
"F4 LEMA 30",0,0,0.05,0
"F4 LEMA 31",0,0,0.05,0
"F4 LEMA 32",0,0,0.05,0
"F4 LEMA 33",0,0,0.05,0
"F4 LEMA 34",0,0,0.05,0
"F4 LEMA 35",0,0,0.05,0
"F4 LEMA 36",0,0,0.05,0
"F4 LEMA 37",0,0,0.05,0
"F4 LEMA 38",0,0,0.05,0
"F4 LEMA 39",0,0,0.05,0
"F4 LEMA 4",0,0,0.05,0
"F4 LEMA 40",0,0,0.05,0
"F4 LEMA 5",0,0,0.05,0
"F4 LEMA 6",0,0,0.05,0
"F4 LEMA 7",0,0,0.05,0
"F4 LEMA 8",0,0,0.05,0
"F4 LEMA 9",0,0,0.05,0
