"","Bees","Flower_beetles","House_flies","Hoverflies","Small_beetles","Small_flies"
"A2 LEMA 12",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 13",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 14",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 15",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 16",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 17",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 18",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 19",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 2",0,0.633333333333333,0,2.71666666666667,0.2,0.1
"A2 LEMA 20",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 3",0,0.633333333333333,0,0.716666666666667,0.2,0.1
"A2 LEMA 4",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 5",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 6",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 7",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 8",0,0.3,0,0.05,0.2,0.1
"A2 LEMA 9",0,0.3,0,0.05,0.2,0.1
"A3 LEMA 1",0,0.913333333333333,0,0.5,0,0.6
"A3 LEMA 10",0,0.246666666666667,0,0,0,0.1
"A3 LEMA 11",0,0.246666666666667,0,0,0,0
"A3 LEMA 12",0,0.246666666666667,0,0,0,0
"A3 LEMA 13",0,0.08,0,0,0,0
"A3 LEMA 14",0,0.08,0,0,0,0
"A3 LEMA 15",0,0.08,0,0,0,0
"A3 LEMA 16",0,0.08,0,0,0,0
"A3 LEMA 17",0,0.08,0,0,0,0
"A3 LEMA 18",0,0.08,0,0,0,0
"A3 LEMA 19",0,0.08,0,0,0,0
"A3 LEMA 2",0,0.913333333333333,0,0.5,0,0.6
"A3 LEMA 20",0,0.08,0,0,0,0
"A3 LEMA 21",0,0.08,0,0,0,0
"A3 LEMA 22",0,0.08,0,0,0,0
"A3 LEMA 23",0,0.08,0,0,0,0
"A3 LEMA 24",0,0.08,0,0,0,0
"A3 LEMA 25",0,0.08,0,0,0,0
"A3 LEMA 3",0,0.913333333333333,0,0,0,0.1
"A3 LEMA 4",0,0.246666666666667,0,0,0,0.1
"A3 LEMA 5",0,0.246666666666667,0,0,0,0.1
"A3 LEMA 6",0,0.246666666666667,0,0,0,0.1
"A3 LEMA 7",0,0.246666666666667,0,0,0,0.1
"A3 LEMA 8",0,0.246666666666667,0,0,0,0.1
"A3 LEMA 9",0,0.246666666666667,0,0,0,0.1
"A4 LEMA 1",0.566666666666667,0.683333333333333,0,0.433333333333333,0.125,0.383333333333333
"A4 LEMA 10",0.0666666666666667,0.183333333333333,0,0.1,0,0.05
"A4 LEMA 11",0.0666666666666667,0.183333333333333,0,0.1,0,0.05
"A4 LEMA 12",0.0666666666666667,0.183333333333333,0,0.1,0,0.05
"A4 LEMA 13",0.0666666666666667,0.183333333333333,0,0.1,0,0.05
"A4 LEMA 14",0.0666666666666667,0.183333333333333,0,0.1,0,0.05
"A4 LEMA 15",0.0666666666666667,0.183333333333333,0,0.1,0,0.05
"A4 LEMA 16",0,0.05,0,0.1,0,0.05
"A4 LEMA 17",0,0.05,0,0.1,0,0.05
"A4 LEMA 18",0,0.05,0,0.1,0,0.05
"A4 LEMA 19",0,0.05,0,0.1,0,0.05
"A4 LEMA 2",0.566666666666667,0.683333333333333,0,0.433333333333333,0.125,0.383333333333333
"A4 LEMA 20",0,0.05,0,0.1,0,0.05
"A4 LEMA 21",0,0,0,0,0,0.05
"A4 LEMA 22",0,0,0,0,0,0.05
"A4 LEMA 23",0,0,0,0,0,0.05
"A4 LEMA 24",0,0,0,0,0,0.05
"A4 LEMA 25",0,0,0,0,0,0.05
"A4 LEMA 26",0,0,0,0,0,0.05
"A4 LEMA 27",0,0,0,0,0,0.05
"A4 LEMA 28",0,0,0,0,0,0.05
"A4 LEMA 29",0,0,0,0,0,0.05
"A4 LEMA 3",0.0666666666666667,0.183333333333333,0,0.433333333333333,0.125,0.383333333333333
"A4 LEMA 30",0,0,0,0,0,0.05
"A4 LEMA 31",0,0,0,0,0,0.05
"A4 LEMA 32",0,0,0,0,0,0.05
"A4 LEMA 33",0,0,0,0,0,0.05
"A4 LEMA 34",0,0,0,0,0,0.05
"A4 LEMA 35",0,0,0,0,0,0.05
"A4 LEMA 36",0,0,0,0,0,0.05
"A4 LEMA 37",0,0,0,0,0,0.05
"A4 LEMA 38",0,0,0,0,0,0.05
"A4 LEMA 39",0,0,0,0,0,0.05
"A4 LEMA 4",0.0666666666666667,0.183333333333333,0,0.1,0.125,0.05
"A4 LEMA 40",0,0,0,0,0,0.05
"A4 LEMA 5",0.0666666666666667,0.183333333333333,0,0.1,0.125,0.05
"A4 LEMA 6",0.0666666666666667,0.183333333333333,0,0.1,0.125,0.05
"A4 LEMA 7",0.0666666666666667,0.183333333333333,0,0.1,0.125,0.05
"A4 LEMA 8",0.0666666666666667,0.183333333333333,0,0.1,0.125,0.05
"A4 LEMA 9",0.0666666666666667,0.183333333333333,0,0.1,0,0.05
"A5 LEMA 1",0,1.76666666666667,0,0.804313725490196,0,2.03333333333333
"A5 LEMA 10",0,0.1,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 11",0,0,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 12",0,0,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 13",0,0,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 14",0,0,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 15",0,0,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 16",0,0,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 17",0,0,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 18",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 19",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 2",0,0.766666666666667,0,0.804313725490196,0,0.0333333333333333
"A5 LEMA 20",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 21",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 22",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 23",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 24",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 25",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 26",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 27",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 28",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 29",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 3",0,0.766666666666667,0,0.804313725490196,0,0.0333333333333333
"A5 LEMA 30",0,0,0,0.02,0,0.0333333333333333
"A5 LEMA 31",0,0,0,0.02,0,0
"A5 LEMA 32",0,0,0,0.02,0,0
"A5 LEMA 33",0,0,0,0.02,0,0
"A5 LEMA 34",0,0,0,0.02,0,0
"A5 LEMA 35",0,0,0,0.02,0,0
"A5 LEMA 36",0,0,0,0.02,0,0
"A5 LEMA 37",0,0,0,0.02,0,0
"A5 LEMA 38",0,0,0,0.02,0,0
"A5 LEMA 39",0,0,0,0.02,0,0
"A5 LEMA 4",0,0.1,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 40",0,0,0,0.02,0,0
"A5 LEMA 41",0,0,0,0.02,0,0
"A5 LEMA 42",0,0,0,0.02,0,0
"A5 LEMA 43",0,0,0,0.02,0,0
"A5 LEMA 44",0,0,0,0.02,0,0
"A5 LEMA 45",0,0,0,0.02,0,0
"A5 LEMA 46",0,0,0,0.02,0,0
"A5 LEMA 47",0,0,0,0.02,0,0
"A5 LEMA 48",0,0,0,0.02,0,0
"A5 LEMA 49",0,0,0,0.02,0,0
"A5 LEMA 5",0,0.1,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 50",0,0,0,0.02,0,0
"A5 LEMA 6",0,0.1,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 7",0,0.1,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 8",0,0.1,0,0.137647058823529,0,0.0333333333333333
"A5 LEMA 9",0,0.1,0,0.137647058823529,0,0.0333333333333333
"A6 LEMA 1",0,0.424242424242424,0,0,0,0.3
"A6 LEMA 10",0,0.0909090909090909,0,0,0,0.133333333333333
"A6 LEMA 11",0,0.0909090909090909,0,0,0,0.0333333333333333
"A6 LEMA 12",0,0,0,0,0,0.0333333333333333
"A6 LEMA 13",0,0,0,0,0,0.0333333333333333
"A6 LEMA 14",0,0,0,0,0,0.0333333333333333
"A6 LEMA 15",0,0,0,0,0,0.0333333333333333
"A6 LEMA 16",0,0,0,0,0,0.0333333333333333
"A6 LEMA 17",0,0,0,0,0,0.0333333333333333
"A6 LEMA 18",0,0,0,0,0,0.0333333333333333
"A6 LEMA 19",0,0,0,0,0,0.0333333333333333
"A6 LEMA 2",0,0.424242424242424,0,0,0,0.3
"A6 LEMA 20",0,0,0,0,0,0.0333333333333333
"A6 LEMA 21",0,0,0,0,0,0.0333333333333333
"A6 LEMA 22",0,0,0,0,0,0.0333333333333333
"A6 LEMA 23",0,0,0,0,0,0.0333333333333333
"A6 LEMA 24",0,0,0,0,0,0.0333333333333333
"A6 LEMA 25",0,0,0,0,0,0.0333333333333333
"A6 LEMA 26",0,0,0,0,0,0.0333333333333333
"A6 LEMA 27",0,0,0,0,0,0.0333333333333333
"A6 LEMA 28",0,0,0,0,0,0.0333333333333333
"A6 LEMA 29",0,0,0,0,0,0.0333333333333333
"A6 LEMA 3",0,0.424242424242424,0,0,0,0.3
"A6 LEMA 30",0,0,0,0,0,0.0333333333333333
"A6 LEMA 4",0,0.424242424242424,0,0,0,0.3
"A6 LEMA 5",0,0.424242424242424,0,0,0,0.3
"A6 LEMA 6",0,0.424242424242424,0,0,0,0.3
"A6 LEMA 7",0,0.0909090909090909,0,0,0,0.133333333333333
"A6 LEMA 8",0,0.0909090909090909,0,0,0,0.133333333333333
"A6 LEMA 9",0,0.0909090909090909,0,0,0,0.133333333333333
"B1 LEMA 1",0,0.733333333333333,0,0.433333333333333,0.5,0.5
"B1 LEMA 10",0,0.4,0,0.1,0,0
"B1 LEMA 2",0,0.733333333333333,0,0.433333333333333,0.5,0.5
"B1 LEMA 3",0,0.733333333333333,0,0.433333333333333,0,0
"B1 LEMA 4",0,0.733333333333333,0,0.433333333333333,0,0
"B1 LEMA 5",0,0.733333333333333,0,0.433333333333333,0,0
"B1 LEMA 6",0,0.733333333333333,0,0.433333333333333,0,0
"B1 LEMA 7",0,0.4,0,0.1,0,0
"B1 LEMA 8",0,0.4,0,0.1,0,0
"B1 LEMA 9",0,0.4,0,0.1,0,0
"B2 LEMA 1",0.0526315789473684,0.519981772613352,0,0.311904761904762,1.04,0.335964912280702
"B2 LEMA 10",0.0526315789473684,0.519981772613352,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 11",0.0526315789473684,0.319981772613352,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 12",0.0526315789473684,0.229072681704261,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 13",0.0526315789473684,0.229072681704261,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 14",0.0526315789473684,0.229072681704261,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 15",0.0526315789473684,0.229072681704261,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 16",0.0526315789473684,0.229072681704261,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 17",0.0526315789473684,0.229072681704261,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 18",0.0526315789473684,0.229072681704261,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 19",0.0526315789473684,0.229072681704261,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 2",0.0526315789473684,0.519981772613352,0,0.311904761904762,1.04,0.335964912280702
"B2 LEMA 20",0,0.123809523809524,0,0.0619047619047619,0.04,0.0333333333333333
"B2 LEMA 21",0,0.123809523809524,0,0.0619047619047619,0.04,0.0333333333333333
"B2 LEMA 22",0,0.123809523809524,0,0.0619047619047619,0.04,0.0333333333333333
"B2 LEMA 23",0,0.123809523809524,0,0.0619047619047619,0.04,0.0333333333333333
"B2 LEMA 24",0,0.123809523809524,0,0.0619047619047619,0.04,0.0333333333333333
"B2 LEMA 25",0,0.123809523809524,0,0.0619047619047619,0.04,0.0333333333333333
"B2 LEMA 26",0,0.123809523809524,0,0.0619047619047619,0,0.0333333333333333
"B2 LEMA 27",0,0.123809523809524,0,0.0619047619047619,0,0.0333333333333333
"B2 LEMA 28",0,0.123809523809524,0,0.0619047619047619,0,0.0333333333333333
"B2 LEMA 29",0,0.123809523809524,0,0.0619047619047619,0,0.0333333333333333
"B2 LEMA 3",0.0526315789473684,0.519981772613352,0,0.311904761904762,0.54,0.335964912280702
"B2 LEMA 30",0,0.123809523809524,0,0.0619047619047619,0,0.0333333333333333
"B2 LEMA 31",0,0.0571428571428571,0,0.0285714285714286,0,0
"B2 LEMA 32",0,0.0571428571428571,0,0.0285714285714286,0,0
"B2 LEMA 33",0,0.0571428571428571,0,0.0285714285714286,0,0
"B2 LEMA 34",0,0.0571428571428571,0,0.0285714285714286,0,0
"B2 LEMA 35",0,0.0571428571428571,0,0.0285714285714286,0,0
"B2 LEMA 4",0.0526315789473684,0.519981772613352,0,0.311904761904762,0.54,0.335964912280702
"B2 LEMA 5",0.0526315789473684,0.519981772613352,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 6",0.0526315789473684,0.519981772613352,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 7",0.0526315789473684,0.519981772613352,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 8",0.0526315789473684,0.519981772613352,0,0.0619047619047619,0.04,0.0859649122807017
"B2 LEMA 9",0.0526315789473684,0.519981772613352,0,0.0619047619047619,0.04,0.0859649122807017
"B3 LEMA 1",0.166666666666667,2.54848484848485,0,2.09090909090909,0.833333333333333,1.33333333333333
"B3 LEMA 10",0,0.215151515151515,0,0.0909090909090909,0,0
"B3 LEMA 11",0,0.215151515151515,0,0.0909090909090909,0,0
"B3 LEMA 12",0,0.0333333333333333,0,0,0,0
"B3 LEMA 13",0,0.0333333333333333,0,0,0,0
"B3 LEMA 14",0,0.0333333333333333,0,0,0,0
"B3 LEMA 15",0,0.0333333333333333,0,0,0,0
"B3 LEMA 16",0,0.0333333333333333,0,0,0,0
"B3 LEMA 17",0,0.0333333333333333,0,0,0,0
"B3 LEMA 18",0,0.0333333333333333,0,0,0,0
"B3 LEMA 19",0,0.0333333333333333,0,0,0,0
"B3 LEMA 2",0.166666666666667,2.54848484848485,0,2.09090909090909,0.833333333333333,1.33333333333333
"B3 LEMA 20",0,0.0333333333333333,0,0,0,0
"B3 LEMA 21",0,0.0333333333333333,0,0,0,0
"B3 LEMA 22",0,0.0333333333333333,0,0,0,0
"B3 LEMA 23",0,0.0333333333333333,0,0,0,0
"B3 LEMA 24",0,0.0333333333333333,0,0,0,0
"B3 LEMA 25",0,0.0333333333333333,0,0,0,0
"B3 LEMA 26",0,0.0333333333333333,0,0,0,0
"B3 LEMA 27",0,0.0333333333333333,0,0,0,0
"B3 LEMA 28",0,0.0333333333333333,0,0,0,0
"B3 LEMA 29",0,0.0333333333333333,0,0,0,0
"B3 LEMA 3",0.166666666666667,2.04848484848485,0,0.0909090909090909,0.333333333333333,0.333333333333333
"B3 LEMA 30",0,0.0333333333333333,0,0,0,0
"B3 LEMA 4",0.166666666666667,0.381818181818182,0,0.0909090909090909,0,0
"B3 LEMA 5",0.166666666666667,0.381818181818182,0,0.0909090909090909,0,0
"B3 LEMA 6",0.166666666666667,0.381818181818182,0,0.0909090909090909,0,0
"B3 LEMA 7",0,0.215151515151515,0,0.0909090909090909,0,0
"B3 LEMA 8",0,0.215151515151515,0,0.0909090909090909,0,0
"B3 LEMA 9",0,0.215151515151515,0,0.0909090909090909,0,0
"B4 LEMA 1",0.78695652173913,1.3,0,0.833333333333333,0.166666666666667,1.83333333333333
"B4 LEMA 10",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 11",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 12",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 13",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 14",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 15",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 16",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 17",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 18",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 19",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 2",0.78695652173913,1.3,0,0.833333333333333,0.166666666666667,1.83333333333333
"B4 LEMA 20",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 21",0.0869565217391304,0.133333333333333,0,0,0,0
"B4 LEMA 22",0.0869565217391304,0.133333333333333,0,0,0,0
"B4 LEMA 23",0.0869565217391304,0.133333333333333,0,0,0,0
"B4 LEMA 24",0,0.133333333333333,0,0,0,0
"B4 LEMA 25",0,0.133333333333333,0,0,0,0
"B4 LEMA 26",0,0.133333333333333,0,0,0,0
"B4 LEMA 27",0,0.133333333333333,0,0,0,0
"B4 LEMA 28",0,0.133333333333333,0,0,0,0
"B4 LEMA 29",0,0.133333333333333,0,0,0,0
"B4 LEMA 3",0.28695652173913,1.3,0,0.833333333333333,0.166666666666667,0.333333333333333
"B4 LEMA 30",0,0.133333333333333,0,0,0,0
"B4 LEMA 4",0.28695652173913,0.3,0,0.5,0.166666666666667,0.333333333333333
"B4 LEMA 5",0.28695652173913,0.3,0,0.5,0.166666666666667,0.333333333333333
"B4 LEMA 6",0.28695652173913,0.3,0,0.5,0.166666666666667,0.333333333333333
"B4 LEMA 7",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 8",0.28695652173913,0.133333333333333,0,0,0,0
"B4 LEMA 9",0.28695652173913,0.133333333333333,0,0,0,0
"B5 LEMA 1",2.06666666666667,8.74444444444444,0,0.0666666666666667,1,4.23333333333333
"B5 LEMA 10",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 11",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 12",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 13",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 14",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 15",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 16",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 17",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 18",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 19",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 2",0.0666666666666667,3.74444444444444,0,0.0666666666666667,0,1.23333333333333
"B5 LEMA 20",0.0666666666666667,0.133333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 21",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 22",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 23",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 24",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 25",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 26",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 27",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 28",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 29",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 3",0.0666666666666667,0.244444444444444,0,0.0666666666666667,0,0.233333333333333
"B5 LEMA 30",0.0666666666666667,0.0333333333333333,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 4",0.0666666666666667,0.244444444444444,0,0.0666666666666667,0,0.233333333333333
"B5 LEMA 5",0.0666666666666667,0.244444444444444,0,0.0666666666666667,0,0.233333333333333
"B5 LEMA 6",0.0666666666666667,0.244444444444444,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 7",0.0666666666666667,0.244444444444444,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 8",0.0666666666666667,0.244444444444444,0,0.0666666666666667,0,0.0333333333333333
"B5 LEMA 9",0.0666666666666667,0.244444444444444,0,0.0666666666666667,0,0.0333333333333333
"B6 LEMA 1",0,3.6447619047619,0,0.1,0,0
"B6 LEMA 10",0,0.24,0,0.1,0,0
"B6 LEMA 11",0,0.24,0,0.1,0,0
"B6 LEMA 12",0,0.24,0,0.1,0,0
"B6 LEMA 13",0,0.24,0,0.1,0,0
"B6 LEMA 14",0,0.24,0,0.1,0,0
"B6 LEMA 15",0,0.24,0,0.1,0,0
"B6 LEMA 16",0,0.24,0,0.1,0,0
"B6 LEMA 17",0,0.24,0,0.1,0,0
"B6 LEMA 18",0,0.24,0,0.1,0,0
"B6 LEMA 19",0,0.24,0,0.1,0,0
"B6 LEMA 2",0,1.6447619047619,0,0.1,0,0
"B6 LEMA 20",0,0.24,0,0.1,0,0
"B6 LEMA 21",0,0.04,0,0,0,0
"B6 LEMA 22",0,0.04,0,0,0,0
"B6 LEMA 23",0,0.04,0,0,0,0
"B6 LEMA 24",0,0.04,0,0,0,0
"B6 LEMA 25",0,0.04,0,0,0,0
"B6 LEMA 3",0,1.6447619047619,0,0.1,0,0
"B6 LEMA 4",0,1.31142857142857,0,0.1,0,0
"B6 LEMA 5",0,1.31142857142857,0,0.1,0,0
"B6 LEMA 6",0,1.31142857142857,0,0.1,0,0
"B6 LEMA 7",0,1.31142857142857,0,0.1,0,0
"B6 LEMA 8",0,0.74,0,0.1,0,0
"B6 LEMA 9",0,0.24,0,0.1,0,0
"C1 LEMA 1",0,1.23095238095238,0.0833333333333333,0.533333333333333,1,1.00238095238095
"C1 LEMA 10",0,0.183333333333333,0.0833333333333333,0.2,0,0.383333333333333
"C1 LEMA 11",0,0.0833333333333333,0.0833333333333333,0.1,0,0.183333333333333
"C1 LEMA 12",0,0.0833333333333333,0.0833333333333333,0.1,0,0.183333333333333
"C1 LEMA 13",0,0,0,0.1,0,0.1
"C1 LEMA 14",0,0,0,0.1,0,0.1
"C1 LEMA 15",0,0,0,0.1,0,0.1
"C1 LEMA 16",0,0,0,0.1,0,0.1
"C1 LEMA 17",0,0,0,0.1,0,0.1
"C1 LEMA 18",0,0,0,0.1,0,0.1
"C1 LEMA 19",0,0,0,0.1,0,0.1
"C1 LEMA 2",0,1.23095238095238,0.0833333333333333,0.533333333333333,0,1.00238095238095
"C1 LEMA 20",0,0,0,0.1,0,0.1
"C1 LEMA 3",0,1.23095238095238,0.0833333333333333,0.533333333333333,0,1.00238095238095
"C1 LEMA 4",0,0.897619047619048,0.0833333333333333,0.2,0,0.669047619047619
"C1 LEMA 5",0,0.897619047619048,0.0833333333333333,0.2,0,0.669047619047619
"C1 LEMA 6",0,0.897619047619048,0.0833333333333333,0.2,0,0.669047619047619
"C1 LEMA 7",0,0.897619047619048,0.0833333333333333,0.2,0,0.669047619047619
"C1 LEMA 8",0,0.183333333333333,0.0833333333333333,0.2,0,0.383333333333333
"C1 LEMA 9",0,0.183333333333333,0.0833333333333333,0.2,0,0.383333333333333
"C2 LEMA 1",0.228571428571429,1.35714285714286,0,0.395238095238095,0.2,0.435238095238095
"C2 LEMA 10",0.0285714285714286,0.0571428571428571,0,0.0285714285714286,0,0.0685714285714286
"C2 LEMA 11",0.0285714285714286,0.0571428571428571,0,0.0285714285714286,0,0.0685714285714286
"C2 LEMA 12",0.0285714285714286,0.0571428571428571,0,0.0285714285714286,0,0.0685714285714286
"C2 LEMA 13",0.0285714285714286,0.0571428571428571,0,0.0285714285714286,0,0.0685714285714286
"C2 LEMA 14",0.0285714285714286,0.0571428571428571,0,0.0285714285714286,0,0.0685714285714286
"C2 LEMA 15",0.0285714285714286,0.0571428571428571,0,0.0285714285714286,0,0.0685714285714286
"C2 LEMA 16",0.0285714285714286,0.0571428571428571,0,0.0285714285714286,0,0.0685714285714286
