Day;Month;Year;Plot;Subplot;Group;Order;Superfamily;Family;Species;ID;G_F;Visits;ID2;Plant_Simple;num.plantas;Fruit;Seed
8;2;2019;9;C3;Fly;Diptera;Syrphoidea;Syrphidae;Episyrphus_sp.;Episyrphus_sp.;Hoverflies;1;CHFU;CHFU;35;2;152
8;2;2019;9;C6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;9;1;76
8;2;2019;9;C6;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;1;CHFU;CHFU;9;1;76
8;2;2019;8;D1;Fly;Diptera;Syrphoidea;Syrphidae;Episyrphus_sp.;Episyrphus_sp.;Hoverflies;3;CHFU;CHFU;1;7;532
8;2;2019;9;D4;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;CHFU;CHFU;111;4;304
15;2;2019;1;A2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;1;76
15;2;2019;1;B2;Fly;Diptera;Syrphoidea;Syrphidae;Sphaerophoria_scripta;Sphaerophoria_scripta;Hoverflies;1;CHFU;CHFU;3;2;152
15;2;2019;2;A3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;7;2;152
15;2;2019;3;C3;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;CHFU;CHFU;4;1;76
15;2;2019;4;A5;Fly;Diptera;Syrphoidea;Syrphidae;Eupeodes_corollae;Eupeodes_corollae;Hoverflies;1;CHFU;CHFU;5;5;380
15;2;2019;4;C5;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;RAPE;RAPE;1;0;0
15;2;2019;5;A3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;16;3;228
15;2;2019;5;A5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;5;2;152
15;2;2019;5;B2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;17;11;836
15;2;2019;6;A2;Beetle;Coleoptera;Chrysomeloidea;Bruchidae;NA;Bruchidae;Small_beetles;1;CHFU;CHFU;14;3;228
15;2;2019;6;A3;Fly;Diptera;Syrphoidea;Syrphidae;Chrysotoxum_sp.;Chrysotoxum_sp.;Hoverflies;1;RAPE;RAPE;1;0;0
15;2;2019;7;B5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;32;9;684
15;2;2019;7;C2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;2;5;380
15;2;2019;7;C5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;4;4;304
15;2;2019;7;E2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;2;3;228
15;2;2019;8;A4;Fly;Diptera;NA;NA;NA;Diptera;Small_flies;1;CHFU;CHFU;51;7;532
15;2;2019;8;D3;Bee;Hymenoptera;Ichneumonoidea;Ichneumonidae;Diplazon_sp.;Diplazon_sp.;Ichneumonidae;1;CHFU;CHFU;31;5;380
15;2;2019;8;D6;Fly;Diptera;Syrphoidea;Syrphidae;Eupeodes_corollae;Eupeodes_corollae;Hoverflies;1;CHFU;CHFU;35;5;380
15;2;2019;9;D3;Fly;Diptera;Syrphoidea;Syrphidae;Sphaerophoria_scripta;Sphaerophoria_scripta;Hoverflies;1;CHFU;CHFU;81;3;228
15;2;2019;9;E4;Fly;Diptera;NA;NA;NA;Diptera;Small_flies;1;CHFU;CHFU;61;3;228
21;2;2019;1;A2;Fly;Diptera;NA;NA;NA;Diptera;Flies;2;CHFU;CHFU;1;1;76
21;2;2019;1;E5;Fly;Diptera;NA;NA;NA;Diptera;Flies;1;CHFU;CHFU;17;9;684
21;2;2019;5;D2;Fly;Diptera;NA;NA;NA;Diptera;Small_flies;2;CHFU;CHFU;9;15;1140
21;2;2019;5;E1;Fly;Diptera;NA;NA;NA;Diptera;Flies;1;CHFU;CHFU;26;9;684
21;2;2019;5;D1;Fly;Diptera;NA;NA;NA;Diptera;Flies;1;CHFU;CHFU;22;6;456
21;2;2019;6;A6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;21;2;152
21;2;2019;6;E5;Fly;Diptera;Syrphoidea;Syrphidae;Eupeodes_corollae;Eupeodes_corollae;Hoverflies;1;ME;ME;1;0;0
21;2;2019;6;F2;Bee;Hymenoptera;NA;NA;NA;Hymenoptera;Bees;1;CHFU;CHFU;35;6;456
21;2;2019;8;B5;Fly;Diptera;NA;NA;NA;Diptera;Flies;1;CHFU;CHFU;31;3;228
21;2;2019;8;D5;Fly;Diptera;NA;NA;NA;Diptera;Flies;1;CHFU;CHFU;41;3;228
21;2;2019;8;A2;Fly;Diptera;NA;NA;NA;Diptera;Flies;1;CHFU;CHFU;12;10;760
21;2;2019;9;A2;Fly;Diptera;Syrphoidea;Syrphidae;Sphaerophoria_scripta;Sphaerophoria_scripta;Hoverflies;1;CHFU;CHFU;21;5;380
21;2;2019;9;A4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;3;2;152
21;2;2019;9;C3;Fly;Diptera;Syrphoidea;Syrphidae;Eupeodes_corollae;Eupeodes_corollae;Hoverflies;1;CHFU;CHFU;35;2;152
21;2;2019;9;C5;Fly;Diptera;Syrphoidea;Syrphidae;Eupeodes_corollae;Eupeodes_corollae;Hoverflies;1;CHFU;CHFU;31;3;228
21;2;2019;9;E3;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;LEMA;LEMA;1;0;0
21;2;2019;9;E4;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;CHFU;CHFU;61;3;228
21;2;2019;9;E5;Bee;Hymenoptera;Apoidea;Andrenidae;Andrena_sp.;Andrena_sp.;Bees;1;CHFU;CHFU;21;2;152
27;2;2019;1;C5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;4;2;152
27;2;2019;1;C5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;4;2;152
27;2;2019;2;B1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;3;2;152
27;2;2019;2;F3;Bee;Hymenoptera;Apoidea;NA;NA;Apoidea;Bees;1;LEMA;LEMA;35;4;256
27;2;2019;3;D2;Beetle;Coleoptera;Chrysomeloidea;Bruchidae;NA;Bruchidae;Small_beetles;1;CHFU;CHFU;3;1;76
27;2;2019;3;E2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;1;76
27;2;2019;4;A2;Bee;Hymenoptera;Apoidea;NA;NA;Apoidea;Bees;1;CHFU;CHFU;21;5;380
27;2;2019;4;A6;Fly;Diptera;Syrphoidea;Syrphidae;Eupeodes_corollae;Eupeodes_corollae;Hoverflies;1;CHFU;CHFU;3;3;228
27;2;2019;4;C2;Bee;Hymenoptera;Apoidea;NA;NA;Apoidea;Bees;1;LEMA;LEMA;35;7;448
27;2;2019;4;E4;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;LEMA;LEMA;18;3;192
27;2;2019;4;E4;Beetle;Coleoptera;Cucujoidea;Nitidulidae;Meligethes_sp.;Meligethes_sp.;Small_beetles;1;LEMA;LEMA;18;3;192
27;2;2019;4;F1;Bee;Hymenoptera;Apoidea;NA;NA;Apoidea;Bees;1;LEMA;LEMA;16;14;896
27;2;2019;5;A1;Beetle;Coleoptera;Cucujoidea;Nitidulidae;Meligethes_sp.;Meligethes_sp.;Small_beetles;1;LEMA;LEMA;4;2;128
27;2;2019;5;B2;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;CHFU;CHFU;17;11;836
27;2;2019;5;D5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;6;4;304
27;2;2019;5;E1;Beetle;Coleoptera;Cucujoidea;Nitidulidae;Meligethes_sp.;Meligethes_sp.;Small_beetles;1;CHFU;CHFU;26;9;684
27;2;2019;6;A3;Beetle;Coleoptera;Chrysomeloidea;Bruchidae;NA;Bruchidae;Small_beetles;1;CHFU;CHFU;12;3;228
27;2;2019;6;B3;Fly;Diptera;Syrphoidea;Syrphidae;Lomatia_sp. ;Lomatia_sp. ;Hoverflies;2;CHFU;CHFU;7;3;228
27;2;2019;6;B4;Fly;Diptera;Syrphoidea;Syrphidae;Chrysotoxum_sp.;Chrysotoxum_sp.;Hoverflies;1;LEMA;LEMA;6;2;128
27;2;2019;7;A5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;3;6;456
27;2;2019;7;A5;Fly;Diptera;Muscoidea;Muscidae;NA;Muscidae;House_flies;1;CHFU;CHFU;3;6;456
27;2;2019;7;B2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;2;8;608
27;2;2019;7;B6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;31;6;456
27;2;2019;7;C2;Bee;Hymenoptera;Apoidea;Andrenidae;Andrena_sp.;Andrena_sp.;Bees;1;CHFU;CHFU;2;5;380
27;2;2019;7;C2;Bee;Hymenoptera;Apoidea;Andrenidae;Andrena_sp.;Andrena_sp.;Bees;1;CHFU;CHFU;2;5;380
27;2;2019;7;C3;Fly;Diptera;NA;NA;NA;Diptera;NA;2;CHFU;CHFU;1;14;1064
27;2;2019;7;C3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;14;1064
27;2;2019;7;E5;Bee;Hymenoptera;Apoidea;Andrenidae;Andrena_sp.;Andrena_sp.;Bees;1;RAPE;RAPE;21;0;0
27;2;2019;7;E5;Bee;Hymenoptera;Apoidea;Andrenidae;Andrena_sp.;Andrena_sp.;Bees;1;RAPE;RAPE;21;0;0
27;2;2019;7;F1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;0;0
27;2;2019;7;F6;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;RAPE;RAPE;12;0;0
27;2;2019;8;B1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;5;7;532
27;2;2019;8;B4;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;RAPE;RAPE;16;0;0
27;2;2019;8;C2;Fly;Diptera;Syrphoidea;Syrphidae;Lomatia_sp. ;Lomatia_sp. ;Hoverflies;1;CHFU;CHFU;19;8;608
27;2;2019;8;D2;Beetle;Coleoptera;Chrysomeloidea;Bruchidae;NA;Bruchidae;Small_beetles;1;CHFU;CHFU;6;5;380
27;2;2019;8;D2;Fly;Diptera;Syrphoidea;Syrphidae;Lomatia_sp. ;Lomatia_sp. ;Hoverflies;1;CHFU;CHFU;6;5;380
27;2;2019;8;E5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;41;6;456
27;2;2019;9;A2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;21;5;380
27;2;2019;9;A3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;6;2;152
27;2;2019;9;B1;Fly;Diptera;NA;NA;NA;Diptera;NA;1;CHFU;CHFU;61;2;152
27;2;2019;9;B2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;35;2;152
27;2;2019;9;B3;Beetle;Coleoptera;Chrysomeloidea;Bruchidae;NA;Bruchidae;Small_beetles;1;CHFU;CHFU;25;2;152
27;2;2019;9;D2;Fly;Diptera;Syrphoidea;Syrphidae;Lomatia_sp. ;Lomatia_sp. ;Hoverflies;1;CHFU;CHFU;35;2;152
27;2;2019;9;D4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;111;4;304
27;2;2019;9;E1;Fly;Diptera;NA;NA;NA;Diptera;NA;1;CHFU;CHFU;31;2;152
27;2;2019;9;E3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;71;3;228
27;2;2019;9;E4;Fly;Diptera;NA;NA;NA;Diptera;House_flies;1;CHFU;CHFU;61;3;228
27;2;2019;9;F4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;3;CHFU;CHFU;21;4;304
27;2;2019;9;F5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;51;3;228
27;2;2019;9;F6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;5;CHFU;CHFU;71;6;456
11;3;2019;1;A3;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;7;2;152
11;3;2019;1;B1;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;CHFU;CHFU;3;2;152
11;3;2019;1;B2;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;ME;ME;1;0;0
11;3;2019;1;B2;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;2;CHFU;CHFU;3;2;152
11;3;2019;1;C4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;3;1;76
11;3;2019;1;E2;Fly;Diptera;NA;NA;NA;Diptera;NA;1;CHFU;CHFU;8;1;76
11;3;2019;1;F4;Fly;Diptera;NA;NA;NA;Diptera;NA;1;CHFU;CHFU;12;2;152
11;3;2019;2;A4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;6;4;304
11;3;2019;2;E4;Bee;Hymenoptera;Apoidea;Halictidae;NA;Halictidae;Halictidae;1;ME;ME;91;120;120
11;3;2019;4;A2;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;21;5;380
11;3;2019;4;A2;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;21;5;380
11;3;2019;4;B1;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;2;1;76
11;3;2019;4;B1;Beetle;Coleoptera;Cleroidea;Melyridae;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;1;CHFU;CHFU;2;1;76
11;3;2019;4;B1;Beetle;Coleoptera;Cleroidea;Melyridae;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;1;CHFU;CHFU;2;1;76
11;3;2019;4;B2;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;11;7;532
11;3;2019;4;B5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;5;7;532
11;3;2019;4;B5;Beetle;Coleoptera;Cleroidea;Melyridae;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;2;CHFU;CHFU;5;7;532
11;3;2019;4;B6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;5;5;380
11;3;2019;4;B6;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;5;5;380
11;3;2019;4;C2;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;5;5;380
11;3;2019;4;C5;Fly;Diptera;NA;NA;NA;Diptera;NA;1;CHFU;CHFU;1;2;152
11;3;2019;4;D6;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;5;5;380
11;3;2019;4;E5;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;2;9;684
11;3;2019;4;F5;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;4;2;152
11;3;2019;4;F5;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;4;2;152
11;3;2019;4;F5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;4;2;152
11;3;2019;4;F4;Beetle;Coleoptera;Cleroidea;Melyridae;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;1;CHFU;CHFU;7;3;228
11;3;2019;5;A1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;12;9;684
11;3;2019;5;A3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;16;3;228
11;3;2019;5;A4;Bee;Hymenoptera;Vespoidea;Formicidae;NA;Formicidae;Ants;1;CHFU;CHFU;11;11;836
11;3;2019;5;A4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;11;11;836
11;3;2019;5;A5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;5;2;152
11;3;2019;5;B1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;22;8;608
11;3;2019;5;B3;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;CHFU;CHFU;11;3;228
11;3;2019;6;A2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;14;3;228
11;3;2019;6;A3;Beetle;Coleoptera;Cucujoidea;Nitidulidae;Meligethes_sp.;Meligethes_sp.;Small_beetles;1;CHFU;CHFU;12;3;228
11;3;2019;6;A3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;12;3;228
11;3;2019;6;A4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;LEMA;LEMA;3;1;64
11;3;2019;6;A5;Beetle;Coleoptera;Elateroidea;Cantharidae;NA;Cantharidae;Flower_beetles;1;CHFU;CHFU;14;3;228
11;3;2019;6;B1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;LEMA;LEMA;2;3;192
11;3;2019;6;B3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;LEMA;LEMA;2;1;64
11;3;2019;6;D2;Bee;Hymenoptera;Apoidea;NA;NA;Apoidea;Bees;1;LEMA;LEMA;4;2;128
11;3;2019;6;D3;Bee;Hymenoptera;Apoidea;Apidae;Apis_mellifera;Apis_mellifera;Bees;1;LEMA;LEMA;6;3;192
11;3;2019;6;E3;Bee;Hymenoptera;Apoidea;NA;NA;Apoidea;Bees;1;CHFU;CHFU;19;3;228
11;3;2019;6;F5;Beetle;Coleoptera;Cucujoidea;Nitidulidae;Meligethes_sp.;Meligethes_sp.;Small_beetles;1;LEMA;LEMA;11;6;384
11;3;2019;7;A1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;6;456
11;3;2019;7;A5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;3;6;456
11;3;2019;7;A5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;5;CHFU;CHFU;3;6;456
11;3;2019;7;B1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;15;1140
11;3;2019;7;B2;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;CHFU;CHFU;2;8;608
11;3;2019;7;B2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;2;8;608
11;3;2019;7;B3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;1;0;0
11;3;2019;7;B4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;16;12;912
11;3;2019;7;B5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;32;9;684
11;3;2019;7;B6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;3;CHFU;CHFU;31;6;456
11;3;2019;7;B6;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;31;6;456
11;3;2019;7;C3;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;1;14;1064
11;3;2019;7;C3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;14;1064
11;3;2019;7;C4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;RAPE;RAPE;71;0;0
11;3;2019;7;C5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;Lysimachia_arvensis;Lysimachia_arvensis;NA;0;0
11;3;2019;7;C6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;3;CHFU;CHFU;18;9;684
11;3;2019;7;D1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;8;608
11;3;2019;7;D1;Fly;Diptera;Empidoidea;Empididae;NA;Empididae;Small_flies;1;CHFU;CHFU;1;8;608
11;3;2019;7;D2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;11;0;0
11;3;2019;7;D3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;4;7;532
11;3;2019;7;D4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;6;10;760
11;3;2019;7;D4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;RAPE;RAPE;41;0;0
11;3;2019;7;D6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;3;CHFU;CHFU;4;8;608
11;3;2019;7;D5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;6;12;912
11;3;2019;7;E2;Fly;Diptera;NA;NA;NA;Diptera;NA;1;CHFU;CHFU;2;3;228
11;3;2019;7;E2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;2;3;228
11;3;2019;7;E3;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;7;5;380
11;3;2019;7;E5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;14;9;684
11;3;2019;7;E4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;11;7;532
11;3;2019;7;F1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;1;0;0
11;3;2019;7;F2;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;2;CHFU;CHFU;1;0;0
