"","Andrena_cinerea","Anthaxia_semicuprea","Coleoptera","Curculionidae","Dilophus_sp.","Diptera","Eucera_sp.","Eupeodes_corollae","Lagorina_sericea","Malachius_bipustulatus","Melanostoma_sp.","Meligethes_sp.","Melyridae","Mordellidae","Musca_sp.","Nemotelus_sp.","Odontomyia_sp.","Oedemeridae","Psilothrix_viridicoerulea","Sphaerophoria_scripta"
"8 E6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"8 F1 LEMA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8 F2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"8 F3 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8 F4 LEMA",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0
"8 F6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9 A3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"9 A5 LEMA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9 B2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9 B4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"9 B5 LEMA",0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0
"9 B6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"9 C3 LEMA",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 C4 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"9 C5 LEMA",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0
"9 D2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"9 D3 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"9 D5 LEMA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 D6 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9 E1 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"9 E2 LEMA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"9 E3 LEMA",0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,4,3
"9 E4 LEMA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 E5 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"9 E6 LEMA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9 F1 LEMA",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 F2 LEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"9 F5 LEMA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0
"9 F6 LEMA",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0
